,DateTime,Judul,link,News
0,"Thursday, September 24, 2020       10:57 WIB","Jika Bisa Garap Tambang Eks Freeport, Portofolio Emas ANTM Makin Kuat","https://www.indopremier.com/ipotnews/newsDetail.php?jdl=Jika_Bisa_Garap_Tambang_Eks_Freeport__Portofolio_Emas_ANTM_Makin_Kuat&news_id=375291&group_news=RESEARCHNEWS&taging_subtype=PG002&name=&search=y_general&q=,&halaman=1","Ipotnews - Dukungan dari Kementerian BUMN untuk menggarap lahan eks tambang Freeport, membuat PT Aneka Tambang Tbk (ANTM
) optimis dapat memperkuat portofolio komoditas emas perseroan.
Hal itu dibenarkan oleh SVP Corporate Secretary ANTM
, Kunto Hendrapawoko. Dia menyebut perseroan menyambut baik dukungan yang diberikan Kementerian BUMN . ""Kesempatan ini menjadi prospek yang baik bagi ANTM
sebagai bagian dari Holding Industri Pertambangan MIND ID untuk memperkuat portofolio komoditas emas perseroan,"" ujar Kunto seperti dikutip  Bisnis , Rabu (23/9).
Adapun, ANTM
saat ini masih aktif melakukan kegiatan eksplorasi di wilayah IUP (Izin Usaha Pertambangan) perseroan seperti di Pongkor. Bahkan, saat ini ANTM
mengaku tengah melakukan beberapa tinjauan di daerah prospek seperti di wilayah Pegunungan Bintang, Papua dan Papandayan, Jawa Barat.
Langkah itu juga sebagai upaya perseroaan menjaga kesinambungan jumlah sumber daya dan cadangan mineral yang dimiliki dengan mengedepankan operasi sesuai dengan prinsip-prinsip penambangan yang baik.
Kunto menyebut tinjauan ke wilayah prospektif juga menjadi bukti bahwa perseroan merupakan perusahaan komoditas yang mengelola komoditas emas dari hulu ke hilir, tidak hanya sebagai perusahaan perdagangan emas.
Aktivitas bisnis perseroan di komoditas emas mulai dari eksplorasi, penambangan yang dilakukan di tambang emas Pongkor dan Cibaliung hingga pengelolaan emas yang dilakukan melalui Pabrik Pengolahan dan Pemurnian Logam Mulia yang dikelola UBPP Logam Mulia.
""Saat ini kapasitas produksi dari tambang emas Antam ada di kisaran 2 ton per tahun,"" papar Kunto.
Seperti diketahui, Menteri BUMN Erick Thohir mengaku sudah mengirim surat kepada Menteri Energi dan Sumber Daya Mineral ( ESDM ) Arifin Tasrif agar ANTM
dapat mengelola lahan tambang bekas PT Freeport Indonesia yang sudah diberikan ke negara.
Menurut Erick, pengelolaan tambang eks Freeport oleh ANTM
membuat perusahaan pelat merah itu tidak sekadar menjadi perantara, tetapi menjadi perusahaan penambang emas.
""Apalagi kalau kita lihat sangat menyakitkan prospek emas di Indonesia, menjadi salah satu suplier terbesar. Dalam kondisi seperti ini harga emas juga sangat baik. Karena itu kita memberanikan diri masuk ke lahan eks Freeport itu,"" ujar Erick dalam rapat bersama Komisi VI DPR di Jakarta, Selasa (22/9). (winardi)

"
1,"Rabu, 23 September 2020 / 21:16 WIB",Aneka Tambang (ANTM) siap mengeduk tambang emas Freeport,https://investasi.kontan.co.id/news/aneka-tambang-antm-siap-mengeduk-tambang-emas-freeport,"KONTAN.CO.ID - JAKARTA. Harapan PT Aneka Tambang Tbk (ANTM) untuk memperbesar portofolio tambang emasnya kian terbuka lebar. Ini setelah Kementerian BUMN melobi Kementerian ESDM supaya ANTM bisa mengelola tambang emas bekas wilayah PT Freeport Indonesia. ""Kesempatan tersebut menjadi prospek yang baik bagi kami sebagai bagian dari holding industri pertambangan MIND ID untuk memperkuat portofolio komoditas emas,"" ujar SVP Corporate Secretary ANTM Kunto Hendrapawoko kepada KONTAN, Rabu (23/9). Dia belum bisa merinci persiapan baik dari segi operasional atau pendanaan terkait hal tersebut. Namun, Antam siap jika harus menggeser operasional tambangnya ke Freeport. Pasalnya, ANTM sudah meninjau sejumlah wilayah yang memiliki potensi cadangan emas. Salah satunya di wilayah Pegunungan Bintang, Papua.  ANTM juga melakukan tinjauan serupa di wilayah Papandayan, Jawa Barat. Hal ini melengkapi kegiatan eksplorasi di wilayah izin usaha pertambangan (IUP) ANTM di Pongkor dan Cibaliung. ""Kami telah mengelola komoditas emas dari hulu ke hilir, mulai dari eksplorasi hingga penambangan. Kami juga senantiasa menjaga kesinambungan jumlah sumber daya dan cadangan  mineral yang dimiliki dengan mengedepankan operasi sesuai dengan prinsip-prinsip penambangan yang baik,"" terang Kunto. Menipisnya cadangan tambang emas membuat ANTM tidak bisa menikmati margin yang optimal lantaran ANTM juga harus membeli emas dari pihak lain sebelum dijual. Kondisi itu tercermin dari kinerja keuangan ANTM di segmen emas. Semester pertama kemarin, penjualan emas ANTM senilai Rp 6,41 triliun. Namun, dari nilai ini, sebesar 88% atau setara Rp 5,70 triliun merupakan biaya yang harus ANTM keluarkan untuk membeli emas. Kondisi semester pertama tahun lalu bahkan lebih berat. Dari nilai penjualan Rp 9,61 triliun, sebesar 96% atau setara Rp 9,22 triliun merupakan beban pokok ANTM untuk membeli emas. Ekspektasi margin bisnis emas ANTM yang lebih baik jika mengelola tambang emas Freeport yang membuat pergerakan emas ANTM kemarin cukup atraktif. Saham ANTM pagi tadi sempat lompat 4,76% ke level Rp 770 per saham. Saham ini juga sempat menyentuh level Rp 780 per saham meski pada akhirnya hanya ditutup menguat 2,04% di level Rp 750 per saham. Investor asing juga tampak bersiap diri menyambut prospek saham ANTM. Net buy atas saham ini sebesar Rp 500 juta di seluruh pasar hari ini. Meilki Darmawan, analis NH Korindo Sekuritas memasang sikap bullish untuk saham ANTM. Menurutnya, ANTM akan diuntungkan oleh tren kenaikan harga komoditas emas dan nikel tahun ini. Dia mempertahankan rekomendasi buy saham ANTM dengan target harga Rp 1.100 per saham. Hari ini, harga saham ANTM naik 2,04% ke Rp 750 per saham.              "
2,error,error,error,error
3,23 September 2020 17:47,"Bakal Garap Gunung Emas eks Freeport, Begini Rencana Antam",https://www.cnbcindonesia.com/market/20200923163522-17-188953/bakal-garap-gunung-emas-eks-freeport-begini-rencana-antam,"PT Aneka Tambang Tbk (ANTM) atau Antam menyambut baik langkah pemerintah melalui Kementerian Badan Usaha Milik Negara (BUMN) yang akan memprioritaskan pengelolaan tambang emas prospektif milik PT Freeport Indonesia kepada perseroan guna memperkuat portofolio komoditas emas.SVP Corporate Secretary Antam Kunto Hendrapawoko mengatakan adanya kesempatan ini akan membuka jalan untuk sinergi pengelolaan aset pertambangan nasional untuk mendukung pengembangan hilirisasi bisnis mineral yang terintegrasi.Apalagi ditambah dengan sudah adanya Holding BUMN Pertambangan di bawah MIND ID atau PT Indonesia Asahan Aluminium (Inalum).""Terkait dengan dukungan yang diberikan Kementerian BUMN untuk mengelola lahan eks tambang Freeport, Antam menyambut baik dukungan dan kesempatan yang diberikan Pemerintah untuk mengelola tambang emas prospektif,"" kata Kunto kepada CNBC Indonesia, Rabu (23/9/2020).Saat ini tambang emas milik Antam berada di Gunung Pongkor, Bogor diproyeksikan akan segera habis mengingat kontrak eksplorasi di wilayah tambang ini akan habis pada 2021.Dia mengungkapkan, perusahaan tengah melakukan eksplorasi emas yakni di tambang eksisting Pongkor, serta melakukan tinjauan di beberapa daerah prospek seperti di wilayah Pegunungan Bintang, Papua dan Papandayan di Jawa Barat. Hal ini dilakukan untuk memastikan kesinambungan operasi jangka panjang.Adapun saat ini penambangan emas dilakukan di tambang emas Pongkor dan Cibaliung dengan kapasitas produksi saat ini mencapai 2 ton per tahun.Perusahaan juga telah melakukan pengelolaan emas dari hulu ke hilir, mulai dari eksplorasi, penambangan hingga pengolahan emas.Sebelumnya, Menteri BUMN Erick Thohir mengatakan sudahbmenyampaikan permintaan langsung kepada Menteri Energi dan Sumber Daya Mineral (ESDM) Arifin Tasrif untuk bisa memberikan kesempatan pengelolaan eks tambang milik Freeport Indonesia kepada Antam.""Apalagi saat ini Antam pegawai banyak seribu tapi tidak punya tambang makanya kemarin kita kirim surat ke Menteri ESDM, sebagai perusahaan BUMN kita mengharapkan, kami koordinasi juga dengan Kepala BKPM agar alokasi yang sudah diberikan Freeport kepada negara, diprioritaskan kepada BUMN untuk masalah pengelolaan emas itu. Sehingga kita secara konkrit Antam ini bukan trading company, tapi juga perusahaan tambang emas,"" kata Erick dalam rapat kerja dengan Komisi VI DPR RI, Selasa (22/9/2020).Dia menyayangkan sumber daya emas yang dimiliki tahan air saat ini memiliki jumlah yang sangat besar, namun perusahaan tambang pelat merah justru tidak memiliki tambang sendiri.""Sangat menyakitkan kalau kita lihat bagaimana prospek emas di Indonesia menjadi salah satu supply yang besar. Dan dalam kondisi seperti ini harga emas sangat baik. Karena itu kita memberanikan diri untuk masuk ke dalam lahan eks-Freeport. Jadi itu untuk masalah Antam,"" imbuh dia.Adapun yang dimaksud eks lahan tambang Freeport tersebut bukan area Grasberg yang masih dioperasikan Freeport, melainkan sebuah gunung emas perawan bernama Blok Wabu di Papua.Pada 2015 lalu Freeport Indonesia telah mengembalikan Blok Wabu kepada pemerintah pusat sebagai upaya dari kewajiban penciutan lahan operasi tambang perusahaan."
4,23 September 2020 17:52,"Bidik Cadangan Emas USD 14 M, Antam Bakal Kelola Blok Wabu?",https://www.cnbcindonesia.com/market/20200923172605-19-188967/bidik-cadangan-emas-usd-14-m-antam-bakal-kelola-blok-wabu,"Jakarta, CNBC Indonesia- Kementerian BUMN mengusulkan agar PT Aneka Tambang Tbk (ANTM) selaku BUMN tambang bisa mengelola lahan tambang Blok Wabu di Papua. Menurut Staf Khusus Menteri BUMN, Arya Sinulingga, Blok Wabu menjadi peluang besar bagi BUMN untuk mengambil alih tambang emas yang memiliki cadangan emas senilai USD 14 miliar ini sehingga bisa memberikan kontribusi yang besar bagi negAra.Seperti apa upaya kementerian BUMN mendorong Antam untuk mengelola Blok Wabu? Selengkapnya saksikan dialog Maria Katarina dengan Staf Khusus Menteri BUMN, Arya Sinulingga dalam Closing Bell, CNBC Indonesia (Rabu, 23/09/2020) "
5,23 September 2020 15:52,"Antam Bakal Garap Gunung Emas di Papua, Bukan Grasberg!",https://www.cnbcindonesia.com/market/20200923133313-19-188897/antam-bakal-garap-gunung-emas-di-papua-bukan-grasberg,"Menteri Badan Usaha Milik Negara (BUMN), Erick Thohir, mengirim surat ke Menteri Energi dan Sumber Daya Mineral (ESDM), Arifin Tasrif, agar PT Aneka Tambang Tbk (ANTM) selaku BUMN tambang bisa mengelola eks lahan tambang yang dikelola PT Freeport Indonesia.Ternyata, yang dimaksud eks lahan tambang Freeport tersebut bukanlah area Grasberg yang masih dioperasikan Freeport, melainkan sebuah gunung emas perawan bernama Blok Wabu di Papua."
6,"Monday, September 21, 2020       09:11 WIB",Harga Emas Antam Menguat Tipis Pada Perdagangan Awal Pekan,"https://www.indopremier.com/ipotnews/newsDetail.php?jdl=Harga_Emas_Antam_Menguat_Tipis_Pada_Perdagangan_Awal_Pekan&news_id=124536&group_news=IPOTNEWS&taging_subtype=PG002&name=&search=y_general&q=,&halaman=1","Ipotnews - Harga emas dari PT Aneka Tambang (Persero) Tbk [ANTM
] pada awal pekan ini menguat tipis Rp1.000 per gram, Senin (21/9) dari level Rp1.023.000 menjadi Rp1.024.000. Begitupun harga perak juga menguat tipis Rp100 per gram dari Rp13.600 menjadi Rp13.700.
Begitupun harga buy back emas ANTM
juga naik tipi Rp1.000 dari Rp925.000 menjadi Rp926.000.
Mengacu pada PMK No 34/PMK.10/2017, penjualan kembali emas batangan ke PT ANTAM Tbk (ANTM
) dengan nominal lebih dari Rp10 juta, dikenakan PPh 22 sebesar 1,5 persen (untuk pemegang NPWP dan 3 persen untuk non NPWP ). PPh 22 atas transaksi buy back dipotong langsung dari total nilai buy back.
Dikutip dari situs logammulia.com, secara rinci harga emas Antam di pasar spot (belum termasuk pajak), yaitu :
1. Emas batangan seberat 0,5 gram sebesar Rp542.000,
2. Emas batangan seberat 1 gram sebesar Rp1.024.000,
3. Emas batangan seberat 2 gram sebesar Rp1.988.000,
4. Emas batangan seberat 3 gram sebesar Rp2.957.000,
5. Emas batangan seberat 5 gram sebesar Rp4.900.000,
6. Emas batangan seberat 10 gram sebesar Rp9.735.000,
7. Emas batangan seberat 25 gram sebesar Rp24.212.000,
8. Emas batangan seberat 50 gram sebesar Rp48.345.000,
9. Emas batangan seberat 100 gram sebesar Rp96.612.000
(Marjudin)

"
7,error,error,error,error
8,"Saturday, September 19, 2020       14:19 WIB","2 Hari Bergeming, Harga Emas Antam Hari Ini Turun Rp 7.000","https://www.indopremier.com/ipotnews/newsDetail.php?jdl=2_Hari_Bergeming__Harga_Emas_Antam_Hari_Ini_Turun_Rp_7_000_&news_id=375173&group_news=RESEARCHNEWS&taging_subtype=PG002&name=&search=y_general&q=,&halaman=1","Jakarta -Setelah bergeming selama dua hari berturut-turut, harga emas Antam Tbk. (ANTM
) hari ini turun Rp 7.000. Sehingga, harga emas Antam hari ini dijual Rp 1.023.000 per gram.
Demikian dikutip dari situs logam mulia laman perdagangan Antam, untuk butik Gedung Antam, Sabtu (19/9/2020). Sebelumnya pada Kamis dan Jumat (17 & 18/9/2020) harga emas Antam dijual seharga Rp 1.030.000/gram.
Demikian juga untuk harga pembelian kembali atau buyback emas Antam hari ini turun Rp 7.000 menjadi Rp 925.000 per gram. Harga buyback ini berarti, jika Anda ingin menjual emas, maka Antam akan membelinya dengan harga emas tersebut.
Harga emas Antam tersebut sudah termasuk PPh 22 sebesar 0,9%. Bila ingin mendapatkan potongan pajak lebih rendah, yaitu sebesar 0,45% maka bawa NPWP saat transaksi.
Berikut rincian harga emas Antam hari ini:
Emas batangan 1 gram Rp 1.023.000
Emas batangan 5 gram Rp 4.895.000
Emas batangan 10 gram Rp 9.725.000
Emas batangan 25 gram Rp 24.187.000
Emas batangan 50 gram Rp 48.295.000
Emas batangan 100 gram Rp 96.512.000
Emas batangan 250 gram Rp 241.015.000
Emas batangan 500 gram Rp 481.820.000
Emas batangan 1.000 gram Rp 963.600.000
(hns/hns)

"
9,"Sabtu, 19 September 2020 / 10:43 WIB","Harga emas Antam hari ini turun Rp 7.000 ke Rp 1.023.000 per gram, Sabtu (19/9)",https://investasi.kontan.co.id/news/harga-emas-antam-hari-ini-turun-rp-7000-ke-rp-1023000-per-gram-sabtu-199,"KONTAN.CO.ID - JAKARTA. Harga emas batangan bersertifikat Antam keluaran Logam Mulia PT Aneka Tambang Tbk (ANTM) turun pada hari Sabtu (19/9). Mengutip situs Logam Mulia, harga pecahan satu gram emas Antam berada di Rp 1.023.000 Harga emas Antam ini turun Rp 7.000 dari harga pada Jumat (18/9) di Rp 1.030.000 per gram. Sementara, harga pembelian kembali atau buyback emas Antam juga turun Rp 7.000 menjadi di Rp 925.000 dari sebelumnya. Berikut harga emas batangan Antam dalam pecahan lainnya per hari ini dan belum termasuk pajak:  Keterangan: Logam Mulia Antam menjual emas dan perak batangan dalam beberapa ukuran berat (misalnya 1 gram, 2 gram, dan 500 gram). Biasanya harga per gram emas Antam akan berbeda tergantung berat batangnya. Perbedaan ini terjadi karena ada biaya tambahan untuk pencetakan, sehingga harga per gram emas Antam batang kecil lebih mahal dari batang yang lebih besar. Harga yang ada di sini adalah harga per gram emas batang 1 kilogram yang biasa dijadikan patokan pelaku bisnis emas.   Banjir stimulus ekonomi global, harga saham pun bakal terkerek             "
