,DateTime,Judul,link,News
0,06 April 2021 18:05,"Mudik Dilarang, Begini Derita Pemilik Jalan Tol",https://www.cnbcindonesia.com/market/20210406172559-17-235734/mudik-dilarang-begini-derita-pemilik-jalan-tol,"Kebijakan pemerintah meniadakan mudik Lebaran pada periode 6 hingga 17 Mei 2021 turut diantisipasi pengelola jalan tol. Sebabnya, kebijakan tersebut berpotensi menurunkan volume trafik jalan tol.Head of Investor Relation PT Astra International Tbk (ASII), Tira Ardianti menjelaskan, kinerja jalan tol sangat bergantung dari pendapatan dari volume trafik jalan tol. Saat ini, Grup Astra, melalui Astra Infra, akan mengikuti kebijakan yang diterapkan pemerintah untuk mengendalikan pandemi Covid-19.""Kita lihat kembali nanti bagaimana perkembangan pembatasan yang dilakukan pemerintah untuk mengatasi pandemi ini,"" kata Tira, saat dihubungi CNBC Indonesia, Selasa (6/4/2021).Namun, kata Tira, untuk mengantisipasi penurunan volume trafik tersebut, Grup Astra akan fokus menerapkan efisiensi biaya operasional. Langkah mengencangkan ikat pinggang ini dilakukan agar tetap bertahan di situasi yang masih sulit akibat pandemi.""Mengelola biaya biaya secara cermat itu jadi salah satu strategi Grup Astra. Kita tidak bisa mengendalikan demand karena situasi pandemi banyak unsur tidak pastinya,"" katanya.Jika kebijakan mudik kembali diterapkan seperti tahun lalu, maka, volume trafik di ruas tol besar yang dilintasi pemudik berpotensi turun signfikan seperti di ruas tol Trans Jawa, Tol Cipularang, Tol Trans Sumatra, dan tol yang terintegrasi dengan tiga tol tersebut.Hal ini misalnya terefleksi dari penurunan pendapatan PT Jasa Marga (Persero) Tbk (JSMR) sepanjang tahun 2020 sebesar 47,98% menjadi Rp 13,70 triliun dari periode tahun 2019 sebesar Rp 26,34 triliun.Rinciannya, pendapatan tersebut terdiri dari pendapatan tol sebesar Rp 8,76 triliun, turun dari tahun sebelumnya Rp 10,13 triliun. Pendapatan konstruksi Rp 4,11 triliun yang juga anjlok dari sebelumnya Rp 15,36 triliun. Sedangkan, pendapatan usaha lainnya memberikan kontribusi sebesar Rp 824,73 miliar.Hal ini, menyebabkan laba bersih JSMR tahun lalu turun 77,3% menjadi Rp 501,05 miliar dari tahun sebelumnya Rp 2,20 triliun.Corporate Secretary Jasa Marga, M Agus Setiawan menjelaskan, perseroan masih konsisten menjaga kinerja usaha di tengah pandemi Covid-19 yang turut berdampak terhadap bisnis perseroan dan juga peningkatan beban bunga seiring dengan pengoperasian jalan tol baru.Agus melanjutkan, hal ini terefleksi dari perolehan laba bersih sebesar Rp 501,05 miliar. Lebih lanjut, perseroan juga tetap mampu mempertahankan Margin EBITDA tetap stabil sebesar 62,42 % atau di level Rp 5,98 triliun, dengan melakukan berbagai efisiensi untuk dapat mengimbangi penurunan volume lalu lintas dan pendapatan tol sebagai imbas dari diterapkannya kebijakan Work From Home (WFH) dan Pembatasan Sosial Berskala Besar (PSBB) di berbagai daerah pada kuartal II dan III tahun 2020.""Kebijakan tersebut yang menyebabkan terjadinya penurunan pendapatan tol perseroan pada tahun 2020 menjadi sebesar Rp 8,76 triliun,"" katanya, dalam keterangan pers, Selasa (30/3/2021)."
1,"Kompas.com - 30/03/2021, 12:35 WIB","Rupiah dan IHSG Melemah di Sesi I, Asing Lepas BBRI, ASII dan UNVR",https://money.kompas.com/read/2021/03/30/123501426/rupiah-dan-ihsg-melemah-di-sesi-i-asing-lepas-bbri-asii-dan-unvr,"JAKARTA, KOMPAS.com – Indeks Harga Saham Gabungan (IHSG) di sesi I perdagangan di Bursa Efek Indonesia (BEI) melemah, Selasa (30/3/2021).Melansir RTI, IHSG pada tengah siang turun 1,13 persen di level 6.097,14.Total transaksi siang ini mencapai Rp 5,9 triliun dengan volume 9,1 miliar saham.Net sell asing siang ini mencapai Rp 179,57 miliar di seluruh pasar.Sektor properti menyumbang pelemahan IHSG terbesar siang ini yakni 2,1 persen.Sementara sektor mining, infrastruktur, consumer, dan basic industry masing-masing menyumbang pelemahan 1,2 persen.Siang ini asing paling banyak melepas saham Bank BRI (BBRI) sebesar Rp 133,1 miliar. Harga saham BBRI siang ini melemah 3,1 persen di level Rp 4.570 per saham.Asing juga siang ini banyak lepas saham Astra International (ASII) sebesar Rp 21,2 miliar. Harga saham ASII siang ini terkoreksi 0,4 persen di level Rp 5.500 per saham. Saham Unilever (UNVR) juga banyak dilego asing siang ini, sebesar Rp 16,2 miliar. Siang ini harga saham UNVR turun 2,6 persen di level Rp 6.550 per saham.Adapun net buy asing siang ini paling tinggi pada saham Vale Indonesia (INCO) sebesar Rp 10,1 miliar. Harga saham INCO siang ini melemah tipis 0,2 persen di level Rp 4.530 per saham."
2,29 March 2021 10:15,"Saham ASII-UNVR-HMSP 5 Tahun Tekor, Ternyata Ini Sebabnya!",https://www.cnbcindonesia.com/market/20210329071338-17-233484/saham-asii-unvr-hmsp-5-tahun-tekor-ternyata-ini-sebabnya,"Pergerakan saham-saham dengan kapitalisasi besar (market cap) di atas Rp 100 triliun alias big cap terpantau menurun dalam kurun 5 tahun terakhir di antaranya adalah PT Unilever Indonesia Tbk (UNVR), PT Astra International Tbk (ASII), dan PT HM Sampoerna Tbk (HMSP).Head of Research PT Mirae Asset Sekuritas Indonesia, Hariyanto Wijaya mengatakan dilihat secara garis besar, saham yang mnegalami penurunan adalah sektor konsumer dalam hal ini UNVR.""Big cap perbankan masih naik. Yang terjadi adalah, kenapa bank naik, ekonomi selalu butuh kredit sehingga membuat kredit growth positif. Dengan kredit yang cenderung positif laba bersih bank naik,"" ujarnya kepada CNBC Indonesia, dalam program InvesTime, di Jakarta, Jumat (26/3/2021).Dari saham-saham tersebut, UNVR menjadi saham yang paling turun. Ada beberapa faktor yang menyebabkan saham UNVR mengalami penurunan. Pertama adalah banyaknya kompetisi produk asing yang sekarang mudah didapat dari e-commerce.""Sekarang banyak produk impor yang bisa didapat di ecommerce,"" tegasnya.Kedua adalah, daya beli masyarakat berubah. Sebelumnya, Upah Minimum Regional (UMR) naik dua digit dibanding dengan saat ini yang kenaikannya hanya satu digit.""Apalagi tahun ini, UMR mostly [kenaikan] 0%. Nanti pertumbuhan laba bersih tak sebesar historical level. Ini membuat investor asing nett sell atas saham-saham konsumer,"" tuturnya.Selanjutnya untuk sektor konsumer seperti PT Gudang Garam Tbk (GGRM) dan HMSP juga mengalami penurunan karena adanya aturan produk rokok. Kenaikan cukai rokok berdampak signifikan pada sektor konsumer ini.""Polanya, kenaikan cukai lebih besar dari UMR membuat daya beli masyarakat membeli rokok kurang. Volume penjualan turun, laba bersih turun,"" ujarnya lagi.Kemudian, ASII juga menjadi saham yang mengalami penurunan. Hal ini karena adanya perusahaan ride hailing seperti Gojek dan Grab yang membuat daya beli kendaraan roda empat dan roda dua menurun.""Dulu 10 tahun yang lalu, mau transport keinginan membeli mobil atau motor. Dengan ada ride hailing tak berkeinginan setinggi zaman dulu,"" pungkasnya.Data perdagangan BEI mencatat, pada awal sesi I, Senin ini (29/3), saham ASII stagnan Rp 5.600/saham dengan koreksi 5 tahun sebesar 15,15%, saham UNVR naik tipis 0,38% di Rp 6.625/saham dengan koreksi 5 tahun 8,75%, dan HMSP naik 1,09% di Rp 1.390/saham dengan kinerja 5 tahun ambles 65%."
3,25 March 2021 13:03,"5 Tahun Tak Cuan, Saham HMSP-UNVR-ASII Makin Parah",https://www.cnbcindonesia.com/market/20210325122907-17-232786/5-tahun-tak-cuan-saham-hmsp-unvr-asii-makin-parah,"Trio saham big cap atau saham dengan kapitalisasi pasar di atas Rp 100 triliun ditutup beragam pada penutupan sesi I perdagangan hari ini, Kamis (25/3/2021).Saham PT HM Sampoerna Tbk (HMSP) dan PT Unilever Indonesia Tbk (UNVR) melemah di zona merah, saat bersamaan saham PT Astra International (ASII) stagnan di harga pembukaan.Berikut harga ketiga saham tersebut, mengacu pada data Bursa Efek Indonesia (BEI), Kamis (25/3/), pada sesi I.HMSP, saham -0,73%, ke Rp 1.365, transaksi Rp 34 MUNVR, -0,38%, ke Rp 6.550, transaksi Rp 26 MASII, =0,00%, di Rp 5.450, transaksi Rp 126 MSaham emiten rokok HMSP menjadi yang paling terkoreksi di antara yang lainnya, setelah merosot 0,73% ke Rp 1.365/saham.Nilai transaksi saham emiten produsen brand kretek Dji Sam Soe ini sebesar Rp 34 miliar.Adapun pelemahan ini diwarnai aksi asing yang mencatatkan jual bersih sebesar Rp 8,87 miliar.Dengan pelemahan ini, saham HMSP berarti sudah empat hari berturut-turut berkubang di zona merah, atau sejak awal pekan ini (22/3).Praktis, saham perusahaan yang berdiri pada 1913 ini sudah ambles 5,21% dalam sepekan. Namun, dalam sebulan saham ini masih naik 1,11%.Adapun secara year to date (YTD), saham HMSP sudah ambles 26,61%.Pada Rabu (23/3), manajemen HMSP melaporkan penurunan laba bersih sepanjang tahun 2020 menjadi sebesar Rp 8,58 triliun. Nilai tersebut turun sebesar 37,95% dibanding tahun sebelumnya Rp 13,72 triliun.Penyebab penurunan laba bersih tersebut adalah menurunnya penjualan bersih HMSP sebesar 13,2% menjadi Rp 92,42 triliun dari sebelumnya Rp 106,55 triliun.Di tempat kedua, saham emiten barang konsumer UNVR juga turun 0,38% ke Rp 6.550/saham. Nilai transaksi saham ini sebesar Rp 26 miliar sepanjang sesi I.Dengan pelemahan ini, UNVR melanjutkan penurunan pada penutupan perdagangan kemarin, Rabu (24/3).Meskipun melemah, asing ramai-ramai tercatat mengoleksi UNVR sebesar Rp 3,67 miliar.Dalam sepekan saham UNVR terkoreksi 0,76%, sementara dalam sebulan sudah merosot 4,38%. Secara YTD, rapor saham UNVR pun jeblok, yakni ambles sebesar 10,27%.Di tempat ketiga, saham emiten Induk Grup Astra, ASII, tercatat ditutup stagnan di harga Rp 5.450/saham. Nilai transaksi saham ASII sebesar Rp 126 miliar.Dalam minggu ini, saham emiten distributor merek mobil asal Prancis Peugeot ini sudah dua kali tidak bergerak. Pada Selasa (23/3), saham ASII juga 'ogah' bergerak di harga Rp 5.575/saham.Adapun dalam sepekan, saham ASII sudah menyusut 4,80%, sementara sebulan merosot 3,11%. Selain itu, secara YTD saham emiten yang juga bergerak di bisnis perkebunan ini sudah anjlok 12,45%."
4,error cnbc,error cnbc,error cnbc,error cnbc
5,24 March 2021 13:25,Alamak! Trio Saham HMSP-UNVR-ASII Kembali Bonyok,https://www.cnbcindonesia.com/market/20210324121524-17-232467/alamak-trio-saham-hmsp-unvr-asii-kembali-bonyok,"Harga saham tiga emiten big cap atau saham dengan kapitalisasi pasar di atas Rp 100 triliun ambles pada sesi I perdagangan hari ini, Rabu (24/3/2021). Penurunan ketiga saham tersebut dibayangi aksi jual bersih oleh asing.Ketiga saham tersebut, yakni PT HM Sampoerna Tbk (HMSP), PT Astra Internasional (ASII) dan Unilever Indonesia (UNVR).Mengacu data BEI, berikut gerak ketiga saham tersebut pada sesi I siang ini:HM Sampoerna (HMSP), saham -2,11%, ke Rp 1.395, transaksi Rp 54 M, net sell asing Rp 2,09 MUnilever Indonesia (UNVR), -1,85%, ke Rp 6.625, transaksi Rp 27 M, net sell asing Rp 13,01 MAstra International (ASII), -0,90%, ke Rp 5.525, transaksi Rp 67 M, net sell asing Rp 18,61 MSaham emiten rokok HMSP tercatat yang paling anjlok di antara dua saham lainnya, yakni 2,11% ke Rp 1.395/saham. Nilai transaksi saham produsen kretek Dji Sam Soe ini sebesar Rp 54 miliar.Dengan demikian, seusai data BEI, sudah 3 hari saham anak usaha Philip Morris Indonesia ini berkubang di zona merah.Asing juga tercatat keluar dari HMSP dengan catatan jual bersih Rp 2,09 miliar.Dalam sepekan, saham perusahaan yang berdiri pada 1913 ini terkoreksi 1,76%, sementara dalam sebulan naik 2,20%. Adapun secara year to date (YTD) anjlok 26,77%.Sebelumnya, pada Rabu (23/3), dalam laporan keuangan yang diterbitkan di website BEI, manajemen HMSP melaporkan laba bersih yang diatribusikan kepada pemilik entitas induk sepanjang tahun 2020 sebesar Rp 8,58 triliun.Nilai tersebut turun sebesar 37,95% dibanding periode yang sama pada tahun sebelumnya Rp 13,72 triliun. Penurunan laba bersih menyebabkan laba per saham dasar perseroan turun menjadi Rp 74 per saham dari sebelumnya Rp 118 per saham.Penyebab penurunan laba bersih tersebut adalah menurunnya penjualan bersih HMSP sebesar 13,2% menjadi Rp 92,42 triliun dari sebelumnya Rp 106,55 triliun.Menurut catatan atas laporan keuangan perusahaan, dampak negatif ekonomi akibat dari Covid-19 dan adanya kebijakan PSBB (Pembatasan Sosial Berskala Besar) dari pemerintah telah menyebabkan penurunan daya beli masyarakat dan perubahan prioritas belanja konsumen.""...[Sehingga] juga berdampak pada penurunan volume industri rokok dan perubahan preferensi konsumen rokok ke produk-produk yang lebih terjangkau harganya di Indonesia,"" jelas manajemen HMSP.Saham produsen bahan konsumer raksasa UNVR juga merosot 1,85% ke Rp 6.625/saham. Pelemahan ini diwarnai aksi jual bersih asing sebesar Rp 13,01 miliar.Adapun dalam sepekan saham produsen brand sampo Clear ini menguat 2,32%, sementara dalam sebulan masih memerah 3,28%. Selanjutnya, secara YTD, saham UNVR sudah terkoreksi 8,30%.Di tempat ketiga, saham emiten 'raja otomotif' ASII tercatat turun 0,90% ke Rp 5.525/saham dengan nilai transaksi sebesar 67 miliar.Sama seperti kedua saham di atas, asing juga ramai-ramai melego saham perusahaan yang juga bergerak di bidang tambang dan agribisnis ini sebesar Rp 18,61 miliar.Dalam sepekan saham ASII sudah terkoreksi 0,90%. Sementara, dalam sebulan saham perusahaan yang berdiri pada 1957 ini sudah merosot 3,49% dan secara YTD anjlok 9,43%."
6,"Wednesday, March 24, 2021       11:35 WIB","Ada Potensi Rp180 Triliun, Pemerintah Siap Fasilitasi Wakaf Uang sebagai Dana Investasi","https://www.indopremier.com/ipotnews/newsDetail.php?jdl=Ada_Potensi_Rp180_Triliun__Pemerintah_Siap_Fasilitasi_Wakaf_Uang_sebagai_Dana_Investasi&news_id=131509&group_news=IPOTNEWS&taging_subtype=PG002&name=&search=y_general&q=,&halaman=1","Ipotnews - Wakil Presiden, Ma'ruf Amin mengungkapkan, pemerintah akan memfasilitasi pelaksanaan wakaf uang yang dananya bisa dimanfaatkan sebagai modal untuk ditempatkan pada sejumlah instrumen investasi.
Amin menilai, kegiatan ekonomi dan keuangan syariah di Indonesia belum berjalan optimal, tercermin dari pemanfaatannya yang hanya sekitar 7-8 persen. ""Bahkan, keuangan perbankan syariah baru 6,7 persen dari potensi yang ada,"" katanya di Jakarta, Rabu (24/3).
Dengan demikian, lanjut dia, pemeritah berkomitmen untuk mendorong pengembangan ekonomi dan keuangan syariah melalui pembentukan Komite Nasional Ekonomi dan Keuangan Syariah (KNEKS) yang didasari oleh Peraturan Presiden (Perpres) Nomor 28 Tahun 2020.
Wapres menyebutkan, salah satu fokus dari empat fokus pembentukan KNEKS adalah pengembangan dana sosial masyarakat, seperti wakaf dan zakat. ""Wakaf ini potensinya sangat besar sekali, kurang lebih Rp180 triliun,"" ungkap Amin.
Dia menyampaikan, manfaat yang lebih besar bisa diperoleh melalui pelaksanaan gerakan wakaf uang yang penerapannya justru lebih fleksibel. ""Selama ini, wakaf hanya pada tanah atau terkenal dengan 3M, yakni wakaf pada masjid, madrasah dan makam,"" imbuhnya.
Lebih lanjut Amin mengatakan, penerapan wakaf uang tidak melulu membutuhkan dana yang besar seperti saat melakukan wakaf tanah. ""(Wakaf uang) ini nilainya bisa kecil dan besar. Kemudian, (dananya) bisa diinvestasikan melalui cara-cara yang lebih profesional. Pemerintah sebagai fasilitator, "" ujar Wapres.
Namun demikian, tegas Amin, pengelolaan dana wakaf uang tidak boleh mengalami penurunan nilai, terlebih lagi hilang. Maka, jelas dia dana wakaf uang harus dimasukkan ke dalam bank syariah yang sebelumnya diterima oleh para nazir.
""Lalu, dana itu dikembangkan melalui Manajer Investasi (MI) yang paham betul. Karena, dana wakaf uang harus tidak boleh berkurang apalagi sampai hilang, tetapi harus menguntungkan,"" ucap Amin sembari menyebutkan bahwa keuntungan tersebut akan tersalurkan ke masyarakat melalui para nazir.
Wapres menegaskan, penerapan wakaf uang diperkenankan oleh UU Nomor 41 Tahun 2006 tentang Wakaf. ""Wakaf uang itu nanti yang akan terkumpul bukan duit secara fisik, tetapi nilainya. Nilainya ini yang kemudian diinvestasikan di berbagai portofolio yang dianggap aman dan menguntungkan,"" papar Wapres.
(Budi)

"
7,24 March 2021 12:43,"Obral Saham ASII-Bank Jago, Asing Borong BBRI-TLKM di Sesi I",https://www.cnbcindonesia.com/market/20210324114709-17-232463/obral-saham-asii-bank-jago-asing-borong-bbri-tlkm-di-sesi-i,"Indeks Harga Saham Gabungan (IHSG) kembali ditutup melemah pada perdagangan sesi I Rabu (24/3/2021). Indeks bursa saham acuan nasional tersebut merosot 0,91% ke level 6.195,94, di tengah pelemahan bursa saham regional (Asia) pada hari ini.Data perdagangan mencatat sebanyak 121 saham terapresiasi, 341 terdepresiasi dan 149 lainnya stagnan. Nilai transaksi pada sesi I hari ini mencapai Rp 5,4 triliun dan terpantau investor asing masih menjual bersih sebanyak Rp 107 miliar di pasar reguler.Ada setidaknya enam saham yang dilepas oleh investor asing pada perdagangan sesi I hari ini. Berikut keenam saham yang dilepas oleh investor asing pada perdagangan sesi I Selasa (23/3/2021).Di saat IHSG melemah dan asing masih melepas beberapa saham, ada enam saham yang kembali diburu oleh asing hari ini. Adapun keenam saham yang diburu oleh asing pada penutupan perdagangan sesi I hari ini adalah.IHSG melemah mengikuti bursa saham Asia yang juga bergerak melemah pada siang hari ini. Pemicu pelemahan bursa saham Asia adalah terkait ketegangan antara China dengan negara-negara sekutu Amerika Serikat (AS) perihal sanksi hak asasi manusia (HAM).AS, Uni Eropa, Inggris, dan Kanada memberlakukan sanksi kepada pejabat pemerintah China yang dituding terlibat dalam pelanggaran hak asasi manusia terhadap etnis minoritas di Xinjiang.""Di tengah kecaman internasional, (China) terus melakukan genosida dan kejahatan terhadap kemanusiaan di Xinjiang,"" tegas Antony Blinken, Menteri Luar Negeri AS, dalam keterangan tertulis bersama.""Sudah banyak bukti yang menunjukkan adanya pelanggaran hak asasi manusia secara sistemik oleh otoritas China,"" tambah pernyataan Kementerian Luar Negeri Kanada.Uni Eropa menjatuhkan sanksi kepada empat orang pejabat pemerintahan China dan satu institusi. Sanksi yang dikenakan adalah larangan masuk dan pembekuan aset.China tentu tidak terima. Beijing langsung membalas dengan memberlakukan sanksi kepada sejumlah anggota parlemen Uni Eropa, Komite Politik dan Keamanan Uni Eropa, serta dua institusi lainnya.""Sanksi terhadap kami didasari atas dusta dan tidak dapat diterima,"" tegas Wang Yi, Menteri Luar Negeri China, seperti dikutip dari Reuters.Sementara itu, lonjakan kasus aktif virus corona (Covid-19) di beberapa negara di Eropa juga menjadi sentiment negatif bagi pasar saham di Asia.World Health Organization (WHO) mencatat, jumlah pasien positif corona di Benua Biru per 23 Maret 2021 adalah 42.870.334 orang. Bertambah 162.860 orang dari hari sebelumnya.Selama dua pekan terakhir, rata-rata tambahan pasien baru adalah 198.751 orang per hari. Melonjak dibandingkan rerata 14 hari sebelumnya yakni 162.341 orang per hari.Oleh karena itu, Eropa kini dinilai sudah terpukul oleh gelombang serangan ketiga (third wave outbreak) Covid-19. Gelombang yang membuat sejumlah negara kembali memperketat pembatasan sosial (social distancing).Mulai akhir pekan lalu, Prancis memberlakukan kembali karantina wilayah (lockdown) di tujuh wilayah, termasuk ibu kota Paris. Lockdown akan berlaku selama sebulan. Selain itu, berlaku jam malam secara nasional yaitu pada pukul 19:00.Di Jerman, Kanselir Angela Merkel memutuskan untuk memperpanjang lockdown hingga 18 April 2021. Warga Negeri Panser diminta untuk tetap di rumah selama libur Hari Paskah.""Kita sedang menghadapi serangan pandemi gelombang baru. Virus mutasi Inggris menjadi dominan,"" kata Merkel, seperti dikutip dari Reuters."
8,23 March 2021 06:20,"Duh... 10 Saham Biang Kerok IHSG Babak Belur, ASII-EMTK",https://www.cnbcindonesia.com/market/20210323032729-17-232049/duh-10-saham-biang-kerok-ihsg-babak-belur-asii-emtk,"Mengawali pekan ini,
 Indeks Harga Saham Gabungan (IHSG) justru berakhir di zona merah setelah merosot 0,87% ke posisi 6.301,13 pada penutupan sesi II perdagangan, Senin kemarin (22/3/2021). Saham-saham unggulan terpaksa ambles seiring dengan tekanan jual bersih (net sell) asing.Data BEI mencatat, pada perdagangan kemarin, 217 saham naik, 253 saham merosot dan 164 saham stagnan. Nilai transaksi mencapai Rp 10,02 triliun dan volume perdagangan mencapai 16,75 miliar saham.Nilai transaksi belum kembali normal di atas Rp 15 triliun yang dicatatkan pada awal-awal tahun ini bahkan di atas Rp 20 triliun.Investor asing pasar saham keluar dari Indonesia dengan catatan jual bersih asing mencapai Rp 414,80 miliar di pasar reguler. Sementara, asing mencatatkan beli bersih di pasar negosiasi dan pasar tunai sebesar Rp 4,67 miliar.Berikut daftar 10 saham dengan catatan jual bersih asing terbesar di pasar reguler.1. Bank Central Asia (BBCA), net sell Rp 183 M, saham -2,07% Rp 33.1002. Astra (ASII), Rp 111 M, saham -3,46% Rp 5.5753. Bank Mandiri (BMRI), Rp 51 M, saham -2,21% Rp 6.6254. Bank BRI (BBRI), Rp 39 M, saham -0,86% Rp 4.6305. Indofood Sukses (INDF), Rp 30 M, saham -2,31% Rp 6.3506. Semen Indonesia (SMGR), Rp 23 M, saham -1,69% Rp 11.6007. Indo Tambangraya (ITMG), Rp 18 M, saham +0,61% Rp 12.4508. Bank Negara Indonesia (BBNI), Rp 14 M, saham -0,81% Rp 6.1009. Elang Mahkota (EMTK), Rp 13 M, saham +10,19% Rp 2.38010. Elnusa (ELSA), Rp 11 M, saham -1,04% Rp 380Dari 10 emiten big cap atau emiten dengan kapitalisasi pasar di atas Rp 100 triliun, memang mayoritas terjadi penurunan dan dilepas asing. Dari sisi net sell terbesar dicatatkan BBCA yakni Rp 183 miliar, sementara sahamnya minus 2%. Kapitalisasi pasar BBCA mencapai Rp 816 triliunAdapun top losers di jajaran big cap, penurunan terbesar harga saham dibukukan PT Bank Jago Tbk (ARTO) yang ambles 4,31% di level Rp 10.000. Asing hanya keluar Rp 1,37 miliar.Penurunan terbesar kedua dicatatkan PT HM Sampoerna Tbk (HMSP) turun 3,91% di Rp 1.475/saham dan ASII minus 3,46% di posisi Rp 5.575/saham.Berikut 5 saham top gainers dan losers sesi II Senin kemairn (22/3).1. Bumi Benowo Sukses Sejahtera (BBSS), saham +27,59% Rp 74, transaksi Rp 13,8 M2. Sanurhasta Mitra (MINA), +18,64% Rp 70, transaksi Rp 10,2 M3. Indika Energy (INDY), +10,16% Rp 1.680, transaksi Rp 146,6 M4. Bumi Resources (BUMI), +9,68% Rp 68, transaksi Rp 89,6 M5. Surya Semesta Internusa (SSIA), +8,87% Rp 540, transaksi Rp 38,1 M1. Surya Esa Perkasa (ESSA), saham -6,78% Rp 330, transaksi Rp 61,7 M2. Bank Ganesha (BGTG), -6,63% Rp 155, transaksi Rp 20,2 M3. Bank Capital Indonesia (BACA), -6,61% Rp 565, transaksi Rp 39,5 M4. Bank MNC Internasional (BABP), -6,59% Rp 85, transaksi Rp 17,5 M5. Bank Pembangunan Daerah Banten (BEKS), -6,45% Rp 87, transaksi Rp 24,9 M"
9,error kompas,error kompas,error,error kompas
