,DateTime,News
0,"30 Dec 20, 09:25","$ASSA

Tambah Armada Baru, Adi Sarana Armada Dapat Pinjaman Rp 150

JAKARTA, investor. id - PT Adi Sarana Armada Tbk (ASSA) baru-baru ini memperoleh fasilitas pinjaman sebanyak Rp 150 miliar dari PT Bank Central Asia Tbk (BBCA). Pinjaman ini bertujuan untuk mengembangkan bisnis sewa kendaraan.

Sekretaris Perusahaan Adi Sarana Armada Hindra Tanujaya menjelaskan, dana hasil pinjaman tersebut akan digunakan perseroan untuk pembelian unit kendaraan untuk disewakan kepada pelanggan.

“Dengan demikian, diharapkan lini bisnis sewa perseroan semakin berkembang dan meningkatkan pendapatan,” jelasnya dalam keterangan resmi, Jumat (25/12)."
1,"10 Dec 20, 10:08","Samuel Daily Report December 10th 2020

Highlights
* Cigarette : Bulan Januari 2021, Cukai Rokok masih menggunakan tarif 2020
* $PTPP : Akan Divestasi Dua Jalan Tol


Optimisme Investor Masih Kuat, IHSG berpotensi melanjutkan penguatan

Mayoritas pasar AS melemah seiring pelemahan pada sektor teknologi. Federal Tech Commission mengajukan gugatan anti-persaingan yang dapat mendorong Facebook divestasi dua aplikasi miliknya. DJIA –0.35% ke level 30,068; S&P500 -0.79%; dan Nasdaq -1.94%. Harga minyak WTI berada pada level USD 45.7 dengan Brent USD 49.1 dan emas USD 1,842.

Indeks EIDO +0.09% dan IHSG Selasa ditutup +0.23% menjadi 5,944 dengan pendorong indeks HMSP, PGAS, EMTK. Net sell asing pada pasar regular mencapai IDR 693.7 miliar. Saham dengan nilai sell buy asing tertinggi di pasar reguler dicetak oleh ICBP (IDR 249.5 miliar), ASII (IDR 117.9 miliar), dan INDF (IDR 74.6 miliar) sementara net buy dicetak oleh (IDR 145.4 miliar), BBRI (IDR 123.1 miliar), dan GGRM (IDR 15.1 miliar

Kasus baru Covid-19 Rabu diumumkan naik menjadi 6,058 kasus (Selasa: 5,292) dengan tingkat kesembuhan lebih rendah yaitu 3,948 (Selasa: 4,295) dan kematian 171 kasus (Selasa: 133). Total kasus Covid-19 Indonesia telah mencapai 592,900 kasus dengan rasio kasus ditutup sebesar 85.3% per 9 Des 2020 (8 Des 2020: 85.5%).

Rilis data mendatang, Inflasi AS per Nov-20 yang +1.1% yoy dan +0.1% mom (prev: +1.2% yoy; 0% mom) mengindikasikan optimisme pasar terhadap economic recovery pada akhir tahun ini. Kami memperkirakan IHSG hari ini berpotensi kembali menguat seiring masih tingginya optimism investor domestik terhadap isu vaksin serta optimisme menjelang akhir tahun."
2,"3 Dec 20, 11:18","Samuel Daily Report December 3nd 2020

Highlights
* $BRPT : Ada potensi IPO anak usaha di masa depan


Ekspektasi positif global, $IHSG berpotensi melanjutkan penguatan

Pasar AS ditutup menguat masih ditopang ekspektasi investor terhadap negosiasi stimulus dalam waktu dekat. Dari sisi Eropa, UK mendorong implementasi vaksin dengan mengeluarkan emergency approval untuk vaksin Pfizer dan BioNTech sementara AS diperkirakan akan melakukan langkah yang sama akhir bulan ini untuk vaksin Moderna. DJIA +0.2% ke level 29,883; S&P500 +0.18%; sementara Nasdaq -0.05%. Harga minyak WTI berada pada level USD 45.3 dengan Brent USD 47.9 dan emas USD 1,830.

Indeks EIDO +1.11% dan IHSG Rabu ditutup +1.56% menjadi 5,814 dengan pendorong indeks HMSP, TLKM, BBRI. Net buy asing pada pasar regular mencapai IDR 15 miliar. Saham dengan nilai net buy asing tertinggi di pasar reguler dicetak oleh ANTM (IDR 148.0 miliar), (IDR 148.0 miliar), dan TOWR (IDR 65.9 miliar) sementara net sell asing dicetak oleh (IDR 121.0 miliar), UNVR (IDR 58.6 miliar), dan EXCL (IDR 55.7 miliar). Sepanjang minggu ini (Senin-Rabu), IHSG menguat +0.6% disertai net sell asing IDR 3.87T pada pasar regular.

Kasus baru Covid-19 Rabu diumumkan naik menjadi 5,533 kasus (Selasa: 5,092) dengan tingkat kesembuhan lebih rendah yaitu 4,001 (Selasa: 4,361) dan kematian 118 kasus (Selasa: 136). Total kasus Covid-19 Indonesia telah mencapai 549,508 kasus dengan rasio kasus ditutup sebesar 86.6% per 2 Des 2020 (1 Des 2020: 86.8%).

Rilis data mendatang, Continuing Jobless Claims per AS Nov-20 diproyeksi pasar akan turun menjadi 5.91 juta (prev: 6.07 juta) sementara Markit Composite PMI per Nov-20 diperkirakan naik menjadi 57.9 (prev: 56.3) mengindikasikan optimisme pasar terhadap economic recovery pada akhir tahun ini. Kami memperkirakan IHSG hari ini berpotensi kembali menguat seiring masih tingginya ekspektasi positif pasar terhadap beberapa isu global dan regional."
3,"2 Dec 20, 08:40","$BBCA

Bank BCA (BBCA) Bagikan Dividen Rp98 per Saham, Simak Jadwalnya!

BBCA akan melaksanakan pembagian dividen interim tunai sebesar Rp98 per saham untuk tahun buku 2020 (periode 1 Januari 2020 sampai dengan 30 September 2020).

Berikut jadwal pembagian dividen interim BBCA:

Akhir periode perdagangan saham dengan hak dividen atau cum dividen

- Pasar reguler dan pasar negosiasi: 7 Desember 2020
- Pasar tunai: 10 Desember 2020

Awal periode perdagangan saham tanpa hak dividen (ex dividen)

- Pasar reguler dan pasar negosiasi: 8 Desember 2020
- Pasar tunai: 11 Desember 2020

Tanggal daftar pemegang saham yang berhak atas dividen (record date): 10 Desember 2020

Tanggal pembayaran dividen interim tunai tahun buku 2020: 22 Desember 2020



Bank+BCA+()+Bagikan+Dividen+Rp98+per+Saham,+Simak+Jadwalnya!+|+"
4,"26 Nov 20, 08:45","Samuel Daily Report November 26th 2020

Highlights
* $ADHI : Dapat Kontrak Besar di Akhir Tahun
* Perbankan: Realisasi dana PEN mencapai IDR 254.37 triliun


Minim sentimen, $IHSG berpotensi kembali melemah

Dow ditutup melemah setelah sempat menyentuh level psikologis 30,000. Investor melakukan profit taking seiring data ekonomi yang dibawah ekspektasi pasar. Initial Jobless Claims per Nov-20 naik menjadi 778 ribu (Oct-20: 748 ribu, cons: 733 ribu) sementara New Home Sales per Oct-20 tercatat turun -0.3% mom (Sep-20: +0.1%, cons: +1.5%). DJIA -0.58% ke level 29,872; S&P500 -0.16%; dan Nasdaq +0.47%. Harga minyak WTI berada pada level USD 45.9 dengan Brent USD 48.9 dan emas USD 1,806.

Indeks EIDO -0.67% dan IHSG Rabu ditutup -0.38% menjadi 5,679.3 dengan pemberat indeks , , . Net buy asing pada pasar regular mencapai IDR 266.8 miliar. Saham dengan nilai net buy asing tertinggi di pasar reguler dicetak oleh BBRI (IDR 524.3 miliar), BMRI (IDR 170.5 miliar), dan UNTR (IDR 122.8 miliar) sementara net sell asing dicetak oleh (IDR 325.5 miliar), ASII (IDR 94 miliar), dan ICBP (IDR 70.1 miliar). Sepanjang minggu ini (Senin-Rabu), IHSG menguat +1.93% disertai net buy asing IDR 523.8 miliar pada pasar regular.

Kasus baru Covid-19 Rabu diumumkan naik menjadi 5,534 kasus (Selasa: 4,192) dengan tingkat kesembuhan lebih tinggi yaitu 4,494 (Selasa: 2,927) dan kematian 114 kasus (Selasa: 109). Total kasus Covid-19 Indonesia telah mencapai 511,836 kasus dengan rasio kasus ditutup sebesar 87.1% per 25 Nov 2020 (24 Nov 2020: 87.2%).

Kami memperkirakan IHSG hari ini berpotensi kembali melemah seiring minimnya sentimen yang dapat menggerakkan pasar. Investor antisipasi profit taking asing yang melakukan ney buy di tengah pelemahan IHSG kemarin."
5,"12 Nov 20, 09:01","Samuel Daily Report November 12th 2020

Highlights
* $SSIA : Mencatatkan Rugi Bersih IDR -75 miliar 3Q20, atau IDR 197.9 miliar 9M20
* $HEAL: Laba Bersih 3Q20 +84.3% YoY, 9M20 +24.6% YoY


Minim sentimen, $IHSG antisipasi profit taking
Pasar saham AS ditutup bervariasi. DJIA -0.08% ke level 29,397; S&P500 +0.77%; dan Nasdaq +2.01%. Mayoritas pasar beralih ke saham teknologi di tengah wait and see progress vaksin Pfizer dan BioNTech. Harga minyak WTI berada pada level USD 41.5 dengan Brent USD 43.7 dan emas USD 1,861.

Indeks EIDO -0.55% dan IHSG Rabu ditutup +0.85% menjadi 5,509.5 dengan pendorong saham TLKM, BBRI dan ASII. Net buy asing pada pasar regular mencapai IDR 2T. Saham dengan nilai net buy asing tertinggi di pasar reguler dicetak oleh BBRI (IDR 687.7 miliar), TLKM (IDR 557.8 miliar), dan (IDR 479.1 miliar) sementara net sell dicetak oleh TOWR (IDR 191.2 miliar), ICBP (IDR 60.7 miliar), dan TBIG (IDR 59.5 miliar). Sepanjang minggu ini (Senin-Rabu), IHSG menguat +.322% disertai net buy asing IDR 4.4T pada pasar regular.

Kasus baru Covid-19 Rabu diumumkan turun menjadi 3,770 kasus (Selasa: 3,779) dengan tingkat kesembuhan lebih rendah yaitu 3,241 (Selasa: 3,475) dan kematian 75 kasus (Selasa: 72). Total kasus Covid-19 Indonesia telah mencapai 448,118 kasus dengan rasio kasus ditutup sebesar 87.9% per 11 Nov 2020 (10 Okt 2020: 87.9%).

Rilis terkini adalah Retail Sales Indonesia per Sep-20 yang melemah -8.7% atau dibawah consensus yang -7.5% namun lebih baik dibanding Aug-20 yang -9.2%. Kami memperkirakan IHSG hari ini berpotensi bergerak melemah dengan antisipasi profit taking terhadap sektor-sektor yang telah menguat sepanjang minggu ini."
6,"5 Nov 20, 09:12","Samuel Daily Report November 5th 2020

Highlights
* $SMGR : laba bersih 3Q20 naik +14.8% yoy
* $HEAL : Private Placement 7% Saham
* $TLKM : 3Q20 Laba bersih +5.7% yoy dan +11% qoq


Sentimen domestik dan global, $IHSG berpotensi menguat

Pasar saham AS ditutup menguat. DJIA +1.34% ke level 27,847; S&P500 +2.2%; dan Nasdaq +3.85%. Mayoritas pasar wait and see menunggu pengumuman pasti pemilu presiden AS. Posisi terakhir quick count, Joe Biden memimpin electoral votes. Harga minyak WTI berada pada level USD 38.9 dengan Brent USD 41.2 dan emas USD 1,907.

Indeks EIDO +1.27% dan IHSG Rabu ditutup -1.05% menjadi 5,105 dengan pemberat saham BMRI, BBRI dan . Net sell asing pada pasar regular mencapai IDR 123.2 miliar. Saham dengan nilai net sell asing tertinggi di pasar reguler dicetak oleh oleh BMRI (IDR 162.4 miliar), BBRI (IDR 67.6 miliar), dan BBNI (IDR 34.6 miliar) sementara net buy dicatatkan oleh (IDR 95.8 miliar), SMGR (IDR 75.2 miliar), dan ASII (IDR 39.7 miliar).

Kasus baru Covid-19 Rabu diumumkan naik menjadi 3,356 kasus (Selasa: 2,973) dengan tingkat kesembuhan lebih tinggi yaitu 3,785 (Selasa: 3,931) dan kematian 113 kasus (Sselasa: 102). Total kasus Covid-19 Indonesia telah mencapai 421,731 kasus dengan rasio kasus ditutup sebesar 87.2% per 4 Nov 2020 (3 Nov 2020: 86.9%).

Hari ini akan ada rilis data GDP Indonesia periode 3Q20 dengan consensus -3.2% yoy dan +5.5% qoq (prev: -5.32% yoy; -4.19% qoq). Kami memperkirakan hari ini IHSG berpotensi menguat didorong rilis data domestik serta ekspektasi investor terhadap pengumuman hasil pemilu AS."
7,"27 Oct 20, 10:36","Samuel Daily Report 27 Oktober 2020

Highlights
* $ASII : 3Q20 laba bersih -56.1% yoy
* $AKRA : Laba Bersih 3Q20 Tumbuh +34.0% YoY
* $BBCA : Laba bersih 3Q20 naik +37.8% qoq atau -3.3% yoy
* $TBIG : Laba Bersih 3Q20, naik +3.1% yoy, 9M20 naik +22.1% yoy
* Cigarette : Cukai Rokok Diusulkan naik 15%-17%


Perdagangan Sebelum Libur Panjang

Semalam bursa AS ditutup melemah: Dow Jones -2.29%, S&P 500 -1.86% dan Nasdaq -1.64%. Ketidakpastian stimulus ekonomi, peningkatan kembali penyebaran virus dan wait and see menjelang pemilu menjadi sentimen negatif yang mewarnai pergerakan pasar

Dari Asia, perdagangan kemarin beberapa bursa utama Asia ditutup negatif: Nikkei -0.1%, Kospi -0.7% dan Shanghai -0.8%. Sementara IHSG ditutup naik +0.62% ke level 5,144.1 ditengah net buy asing sebesar IDR 175.2 miliar di pasar reguler. EIDO ditutup turun -0.21%.

Beberapa berita dan sentimen pasar yang dapat dicermati diantaranya: Pembacaan awal pertumbuhan GDP Q3 Korea -1.3% yoy (cons: -1.9%; prev: -2.7%) dan 1.9% qoq (cons: 1.7%; prev -3.2%). Rilis laporan keuangan kuartal-3 yang dapat mempengaruhi pergerakan harga saham emiten. Kasus Covid-19 di AS kembali melonjak dengan rata-rata 68,767 kasus selama 7 hari terakhir. Sementara itu, kasus baru Covid-19 dalam negeri Senin diumukan melandai menjadi 3,222 kasus (prev: 3,732 kasus) dengan kesembuhan lebih tinggi yaitu 3,908 kasus sehingga kasus ditutup sebesar 84.2%. Hingga kini Indonesia telah mencatat total kasus Covid-19 mencapai 392.9 ribu.

Pagi ini Indeks Nikkei dibuka dan diperdagangkan di zona negatif -0.41%, sama halnya dengan Kospi -0.28%. Hari ini juga merupakan perdagangan terakhir bulan Oktober menjelang libur panjang Maulid Nabi, market diperkirakan cenderung wait and see."
8,"22 Oct 20, 08:40","Samuel Daily Report 22 Oktober 2020

Highlights
· $ANTM : Penjualan emas ANTM melonjak 143%
· Cigarette : Kementerian Keuangan: Cukai tembakau pasti dinaikkan
· $MIKA : Laba Bersih 3Q20 Tumbuh +37.1% YoY


Minim sentimen, $IHSG berpotensi kembali flat

Pasar saham AS ditutup melemah. DJIA -0.35% ke level 28,210; S&P500 -0.22%; dan Nasdaq -0.28%. Mayoritas pasar wait and see menunggu kepastian paket stimulus AS yang masih belum menemukan titik temu. Harga minyak WTI berada pada level USD 39.9 dengan Brent USD 41.7 dan emas USD 1,927.

Indeks EIDO +2.17% dan IHSG Rabu ditutup -0.07% menjadi 5,096 dengan pemberat saham BMRI, BNLI dan . Net sell asing pada pasar regular mencapai IDR 116.9 miliar. Saham dengan nilai net sell asing tertinggi di pasar reguler dicetak oleh oleh (IDR 140.9 miliar), TLKM (IDR 87.4 miliar), dan BMRI (IDR 61.7 miliar) sementara net buy dicatatkan oleh ASII (IDR 122 miliar), BBRI (IDR 60.2 miliar), dan INTP (IDR 39.2 miliar). Sepanjang minggu ini (Senin-Rabu), IHSG menguat +0.14% disertai net sell asing IDR 647 miliar pada pasar regular.

Kasus baru Covid-19 Rabu diumumkan naik menjadi 4,267 kasus (Selasa: 3,602) dengan tingkat kesembuhan lebih rendah yaitu 3,856 (Selasa: 4,410) dan kematian 123 kasus (Selasa: 117). Total kasus Covid-19 Indonesia telah mencapai 373,109 kasus dengan rasio kasus ditutup sebesar 83.2% per 21 Okt 2020 (20 Okt 2020: 83.1%).

Hari ini akan ada rilis data Penjualan Motor Indonesia per Sep-20 yang menurut consensus -40%, sedikit lebih baik dibanding Aug-20 yang -46.9%. Kami memperkirakan hari ini IHSG akan bergerak kembali flat seiring minimnya sentimen baik itu dari global maupun domestik."
9,"15 Oct 20, 09:49","Samuel Daily Report 15 Oktober 2020

Highlights
* Perbankan : Penurunan suku bunga kredit belum dapat mendorong
pertumbuhan kredit
* $ASRI : Memperpanjang Batas Waktu Exchange Offer Bonds
* Sektor Metal : Rencana Pembentukan Perusahaan Baterai
* Sektor Coal : Larangan Impor Batubara Australia oleh China


Didorong sentimen domestik, berpotensi melanjutkan penguatan

Pasar saham AS ditutup melemah. DJIA -0.58% ke level 28,514; S&P500 -0.66%; dan Nasdaq -0.8%. Treasury Secretary AS, Stevene Mnuchin menyatakan bahwa target untuk meloloskan stimulus sebelum pemilu presiden akan cukup sulit. Hal tersebut akibat masih belum ada titik tengah antara angka yang di ajukan partai Demokrat dan Republik. Harga minyak WTI berada pada level USD 41.1 dengan Brent USD 43.4 dan emas USD 1,903.

Indeks EIDO +1.2% dan IHSG Rabu ditutup +0.85% menjadi 5,176 dengan penopang saham BBRI, TLKM dan . Net buy asing pada pasar regular mencapai IDR 61.6 miliar. Saham dengan nilai net buy asing tertinggi di pasar reguler dicetak oleh oleh BBNI (IDR 127.5 miliar), BBRI (IDR 107.9 miliar), dan (IDR 79.5 miliar) sementara net sell asing dicetak oleh TOWR (IDR 72.6 miliar), UNTR (IDR 55.9 miliar), dan MIKA (IDR 24.7 miliar). Sepanjang minggu ini (Senin-Rabu), IHSG menguat +2.41% disertai net sell asing IDR 121 miliar pada pasar regular.

Kasus baru Covid-19 Rabu diumumkan naik menjadi 4,127 kasus (Selasa: 3,906) dengan tingkat kesembuhan lebih rendah yaitu 4,555 (Selasa: 4,777) dan kematian 129 kasus (Sselasa: 92). Total kasus Covid-19 Indonesia telah mencapai 344,749 kasus dengan rasio kasus ditutup sebesar 81.2% per 14 Okt 2020 (13 Okt 2020: 80.8%).

Hari ini akan ada rilis data Trade Balance Indonesia per Sep-20 yang menurut consensus akan surplus USD 2.08 miliar atau lebih rendah dibandingkan periode sebelumnya yang surplus USD 2.3 miliar. Ekspor diperkirakan akan -7.5% (Aug-20 -8.4%) dengan impor -25.0% (Aug-20 -24.2 Selain rilis data ekonomi, berita pembentukan holding baterai listrik dari Kementerian BUMN turut mendorong kenaikan emiten metal mining serta beberapa bank BUMN seiring ditandatanganinya pembentukan bank syariah. %). Kami memperkirakan IHSG hari ini berpotensi melanjutkan penguatan seiring kuatnya sentimen positif dari domestik."
