,DateTime,Judul,link,News
0,28 October 2019 17:27,"BCA Sinyalkan Stock Split, Akankah Direalisasikan di 2020?",https://www.cnbcindonesia.com/market/20191028165951-17-110758/bca-sinyalkan-stock-split-akankah-direalisasikan-di-2020,"Manajemen PT Bank Central Asia Tbk (BBCA) menegaskan rencana pemecahan nilai nominal saham alias stock split masih dipertimbangkan dilakukan pada tahun depan, kendati belum memastikan apakan rencana tersebut terealisasi atau tidak pada tahun depan.

Presiden Direktur BCA Jahja Setiaatmadja mengatakan stock split memang belum dilakukan tahun ini. ""Kita belum mau mengadakan [stock split], tapi kepikir enggak iya tahun depan lah kita pertimbangkan, itu jalan ceritanya, kok jadi serius banget,"" tegas Jahja kepada wartawan usai paparan kinerja kuartal III-2019 di Jakarta, Senin (28/10/2019).

Jahja menegaskan kalimat mempertimbangkan itu bisa jadi hanya 'mempertimbangkan', jadi bukan pasti terealisasi. ""Pertimbangkan itu bisa ditimbang-timbang, saat ini [tahun ini] pertimbangkan belum, tahun depan [dikaji].""Dia menjelaskan dengan harga saham BBCA di level Rp 30.000/saham, maka denominasi dolar AS hanya sekitar US$ 2/saham, padahal yang berinvestasi di saham BBCA ini investor dari luar juga, termasuk dari New York, Boston, dan London.

Di tengah penguatan harga saham BBCA itu, menurut Jahja, belum waktunya saham perseroan nilainya dipecah.

""Saham bank di [indeks] Dow Jones [bursa Wall Street AS] ada US$ 100 dolar, di Indonesia kurs kita rada royal, jadi Rp 30.000 [per saham], tapi kalau ke dolar masih murah [sekitar US$ 2], buat kita serba salah, sebenarnya harga saham masih melonjak, belum waktunya stock split, kecuali harga saham flat. Sekarang belum kita pertimbangkan.""

Mengacu data Bursa Efek Indonesia (BEI), saham BBCA Senin ini (28/10), naik 0,08% di level Rp 31.025/saham. Secara tahun berjalan atau year to date, saham BBCA naik 19,33% dengan kapitalisasi pasar Rp 764,92 triliun, terbesar di Indonesia.

Sebelumnya Jahja juga menegaskan belum perlu melakukan stock split.

""Belum mau [stock split]. Selama ini harga saham BCA kenaikannya masih bagus. Enggak butuh stock split,"" kata Jahja, Selasa (15/10/2019).

Menurut Jahja, kajian untuk stock split ini juga belum dilakukan oleh perseroan. Menurutnya perlu dilihat terlebih dahulu, mengenai rencana dari pemegang saham mayoritas serta prospek dan kinerja perseroan.


Laba BBCA per September 2019""Nah saya lihat di tahun depan juga masih dipertimbangkan. Bisa iya ya bisa juga enggak,"" jelas Jahja.

Sama seperti Jahja, sebelumnya Direktur BCA Santoso juga mengatakan rencana tersebut akan dimatangkan dahulu.

""Stock split biar dimatangkan dulu,"" ujar Direktur BCA Santoso kepada CNBC Indonesia saat ditemui dalam acara Kick Off Piala Presiden E-Sports 2020 di Tennis Indoor Senayan, Kompleks Gelora Bung Karno, Jakarta, Minggu (13/10/2019).

Santoso belum memberi jawaban perinci. Sebab, menurut dia, banyak hal yang akan dipertimbangkan perseroan untuk memecah nilai nominal saham.Analis menilai kabar stock split ini direspons pasar mengingat BBCA adalah emiten berkapitalisasi pasar terbesar sehingga rencana yang belum terkonfirmasi ini memberikan hawa segar bagi investor ritel.

Kepala Riset PT Koneksi Kapital Alfred Nainggolan berpendapat, pada prinsipnya tujuan utama dari pemecahan nilai nominal saham agar saham ini lebih mudah dijangkau oleh investor ritel. Dengan rasio yang lebih murah, tentu investor ritel bisa lebih menyerap saham BBCA.

Apalagi menurut Alfred, BBCA saat ini masih memimpin klasemen di BEI sebagai perusahaan degan nilai kapitalisasi pasar terbesar. BBCA juga punya rekam jejak fundamental kinerja yang di mata investor relatif bagus sebagai saham blue chips atau unggulan.

Langkah stock split ini dinilai menjadi momentum bagi BBCA mempertahankan likuiditas BBCA di pasar sesuai historisnya."
1,28 October 2019 17:20,"Soal Rencana Stock Split, Begini Jawaban Presdir BCA",https://www.cnbcindonesia.com/market/20191028164904-19-110743/soal-rencana-stock-split-begini-jawaban-presdir-bca,"Jakarta, CNBC Indonesia -Presiden Direktur PT Bank Central Asia Tbk (BBCA), Jahja Setiatmadja dalam rilis  laporan kinerja keuangan kuartal III-2019 menyampaikan bahwa perusahaan baru akan mempertimbangkan rencana stock split pada tahun 2020.Selengkapnya simak Breaking News, CNBC Indonesia (Senin, 28/10/2019)."
2,28 October 2019 16:16,"Q3-2019, Laba BCA Naik 13% Jadi Rp 20,9 T",https://www.cnbcindonesia.com/market/20191028161448-17-110726/q3-2019-laba-bca-naik-13-jadi-rp-209-t,
3,28 October 2019 16:16,"Q3-2019, Laba BCA Naik 13% Jadi Rp 20,9 T",https://www.cnbcindonesia.com/market/20191028161448-17-110726/q3-2019-laba-bca-naik-13-jadi-rp-209-t,"LIVE! BCA Paparkan Kinerja Keuangan Kuartal III-2019
Jakarta, CNBC Indonesia - PT Bank Central Asia Tbk (BBCA) memaparkan kinerja keuangan kuartal III-2019 hari ini, Senin (28/10/2019). Simak pemaparannya dalam channel box di bawah ini.[Gambas:Video CNBC] (tas)"
4,28 October 2019 16:54,"Laba BCA Kuartal III-2019 Naik 13% Jadi Rp 20,9 T",https://www.cnbcindonesia.com/market/20191028164338-19-110739/laba-bca-kuartal-iii-2019-naik-13-jadi-rp-209-t,"Jakarta, CNBC Indonesia-PT Bank Central Asia Tbk (BBCA) merilis laporan kinerja keuangan kuartal III-2019, dimana perseroan mencatat kenaikan laba sebesar 13% (yoy) menjadi Rp 20,9 triliun yang didukung oleh pencapaian kinerja operasional yang solid.Selengkapnya simak Breaking News, CNBC Indonesia (Senin, 28/10/2019). "
5,28 October 2019 16:54,"Laba BCA Kuartal III-2019 Naik 13% Jadi Rp 20,9 T",https://www.cnbcindonesia.com/market/20191028164338-19-110739/laba-bca-kuartal-iii-2019-naik-13-jadi-rp-209-t,"IHSG Menguat di Awal Perdagangan, BBCA Jadi Pendorong Utama
Berdasarkan data Bloomberg, IHSG menguat 0,09 persen atau 5,7 poin ke level 6.258,05 pada pukul 09.2..."
6,22 Oktober 2019  |  18:21 WIB,"Indeks Bisnis-27 Ditutup Menguat, BBCA dan CPIN Jadi Pendorong Utama",https://market.bisnis.com/read/20191022/7/1162103/indeks-bisnis-27-ditutup-menguat-bbca-dan-cpin-jadi-pendorong-utama,"Bisnis.com, JAKARTA – Indeks Bisnis-27 mampu ditutup menguat pada perdagangan hari ini, Selasa (22/10/2019), bersama dengan penguatan IHSG. Berdasarkan data Bloomberg, indeks Bisnis-27 ditutup menguat 0,39 persen atau 2,09 poin di level 543,50 dari level penutupan perdagangan sebelumnya. Pada perdagangan Senin (21/10), indeks Bisnis-27 berakhir di level 541,41 dengan kenaikan 0,21 persen atau 1,14poin, kenaikan hari ketujuh beruntun. Indeks mulai melanjutkan penguatannya dengan dibuka naik 0,19 persen atau 1,01 poin di posisi 542,42 namun sempat berbalik melemah dan diperdagangkan di zona merah hingga menjelang akhir perdagangan. Sepanjang hari ini, indeks Bisnis-27 bergerak di level 537,95-544,06. Sebanyak 14 saham menguat, 10 saham melemah, dan 3 saham lainnya stagnan dari 27 saham anggota indeks Bisnis-27 yang diperdagangkan pada akhir perdagangan hari ini. Saham PT Bank Central Asia Tbk. (BBCA) dan PT Charoen Pokphand Indonesia Tbk. (CPIN) yang masing-masing naik 1,29 persen dan 6,53 persen menjadi pendorong utama penguatan indeks Bisnis-27. Sejalan dengan indeks Bisnis, Indeks Harga Saham Gabungan (IHSG) berbalik ke zona hijau pada akhir perdagangan Selasa, setelah berfluktuasi sepanjang hari. Berdasarkan data Bloomberg, IHSG ditutup menguat 0,43 persen atau 26,51 poin ke level 6.225,5 dari level penutupan perdagangan sebelumnya. Pada perdagangan Senin (21/10), IHSG berakhir di level 6.198,99 dengan penguatan 0,11 persen atau 7,04 poin, reli penguatan perdagangan hari ketujuh beruntun. Penguatan indeks mulai berlanjut dengan dibuka naik 0,14 persen atau 8,5 poin di posisi 6.207,49, namun sempat berbalik melemah hingga menjelang akhir perdagangan, sebelum akhirnya kembali ke zona hijau. Sepanjang perdagangan hari ini, IHSG bergerak di kisaran 6.178,55-6.229,4. Enam dari sembilan sektor berakhir di zona hijau, dipimpin oleh sektor industri dasar yang menguat 1,92 persen, disusul sektor finansial yang naik 0,77 persen. Tiga sektor lainnya ditutup melemah, didorong oleh sektor barang konsumsi yang menguat 0,82 persen. Dari 659 saham yang diperdagangkan di Bursa Efek Indonesia (BEI) hari ini, sebanyak 186 saham menguat, 224 saham melemah, dan 249 saham lainnya stagnan.   Berikut adalah harga saham Bisnis-27: Kode Nama Perusahaan Harga (Rp) ACES PT Ace Hardware Indonesia Tbk.         1.850 ADRO PT Adaro Energy Tbk         1.365 ANTM PT Aneka Tambang Tbk.            930 ASII PT Astra International Tbk         6.750 BBCA PT Bank Central Asia Tbk      31.500 BBNI PT Bank Negara Indonesia (Persero) Tbk         7.325 BBRI PT Bank Rakyat Indonesia (Persero) Tbk         4.140 BDMN PT Bank Danamon Indonesia Tbk         4.580 BMRI PT Bank Mandiri Persero Tbk         6.825 CPIN PT Charoen Pokphand Indonesia Tbk         6.525 HMSP PT Hanjaya Mandala Sampoerna Tbk         2.120 ICBP PT Indofood CBP Sukses Makmur Tbk      11.425 INCO PT Vale Indonesia Tbk PT         3.400 INDF PT Indofood Sukses Makmur Tbk         7.375 INKP PT Indah Kiat Pulp & Paper Corp Tbk         7.125 INTP PT Indocement Tunggal Prakarsa Tbk      20.000 JPFA PT Japfa Comfeed Indonesia Tbk.         1.655 KLBF PT Kalbe Farma Tbk         1.630 MAPI PT Mitra Adiperkasa Tbk         1.150 MYOR PT Mayora Indah Tbk         2.180 PTBA PT Bukit Asam Tbk         2.360 PWON PT Pakuwon Jati Tbk            610 SCMA PT Surya Citra Media Tbk         1.325 SMGR PT Semen Indonesia (Persero) Tbk      12.575 TLKM PT Telekomunikasi Indonesia (Persero) Tbk         4.230 TPIA PT Chandra Asri Petrochemical Tbk         9.475 UNTR PT United Tractors Tbk      21.500"
7,error nih,error nih,error,error
8,error nih,error nih,error,error
9,error nih,error nih,error,error
