,DateTime,Judul,link,News
0,"Kompas.com - 30/03/2021, 12:35 WIB","Rupiah dan IHSG Melemah di Sesi I, Asing Lepas BBRI, ASII dan UNVR",https://money.kompas.com/read/2021/03/30/123501426/rupiah-dan-ihsg-melemah-di-sesi-i-asing-lepas-bbri-asii-dan-unvr?page=all#page2,"JAKARTA, KOMPAS.com – Indeks Harga Saham Gabungan (IHSG) di sesi I perdagangan di Bursa Efek Indonesia (BEI) melemah, Selasa (30/3/2021).Melansir RTI, IHSG pada tengah siang turun 1,13 persen di level 6.097,14.Total transaksi siang ini mencapai Rp 5,9 triliun dengan volume 9,1 miliar saham.Net sell asing siang ini mencapai Rp 179,57 miliar di seluruh pasar.Sektor properti menyumbang pelemahan IHSG terbesar siang ini yakni 2,1 persen.Sementara sektor mining, infrastruktur, consumer, dan basic industry masing-masing menyumbang pelemahan 1,2 persen.Siang ini asing paling banyak melepas saham Bank BRI (BBRI) sebesar Rp 133,1 miliar. Harga saham BBRI siang ini melemah 3,1 persen di level Rp 4.570 per saham.Asing juga siang ini banyak lepas saham Astra International (ASII) sebesar Rp 21,2 miliar. Harga saham ASII siang ini terkoreksi 0,4 persen di level Rp 5.500 per saham. Saham Unilever (UNVR) juga banyak dilego asing siang ini, sebesar Rp 16,2 miliar. Siang ini harga saham UNVR turun 2,6 persen di level Rp 6.550 per saham.Adapun net buy asing siang ini paling tinggi pada saham Vale Indonesia (INCO) sebesar Rp 10,1 miliar. Harga saham INCO siang ini melemah tipis 0,2 persen di level Rp 4.530 per saham.Asing juga siang ini borong saham Bank KB Bukopin (BBKP) sebesar 9,4 miliar. BBKP siang ini menguat tipis 0,8 persen di level Rp 482 per saham.Wijaya Karya (WIKA) juga laris dibeli asing siang ini sebesar Rp 6,3 miliar. Harga saham WIKA turun 2,2 persen siang ini menjadi Rp 1.545 per saham.Beberapa saham yang harganya jeblok siang ini antara lain saham Bank Gganesha (BGTG) yang turun 6,8 persen di level Rp 136 per saham.Saham Pabrik Kertas Tjiwi Kimia (TKIM) juga anjlok 6,5 persen di level Rp 11.150 per saham.PT PP Persero (PTPP) juga melemah 6,4 persen di level Rp 1.380 per saham.Rupiah masih betah melemah siang ini di level Rp 14.475 per dollar AS. Posisi ini melemah 30 poin (0,21 persen) dibandingkan penutupan sebelumnya Rp 14.445 per dollar AS.Disclaimer: Artikel ini bukan untuk mengajak membeli atau menjual saham. Segala rekomendasi dan analisa saham berasal dari analis dari sekuritas yang bersangkutan, dan Kompas.com tidak bertanggung jawab atas keuntungan atau kerugian yang timbul. Keputusan investasi ada di tangan Investor. Pelajari dengan teliti sebelum membeli/menjual saham."
1,29 March 2021 10:15,"Saham ASII-UNVR-HMSP 5 Tahun Tekor, Ternyata Ini Sebabnya!",https://www.cnbcindonesia.com/market/20210329071338-17-233484/saham-asii-unvr-hmsp-5-tahun-tekor-ternyata-ini-sebabnya,"Pergerakan saham-saham dengan kapitalisasi besar (market cap) di atas Rp 100 triliun alias big cap terpantau menurun dalam kurun 5 tahun terakhir di antaranya adalah PT Unilever Indonesia Tbk (UNVR), PT Astra International Tbk (ASII), dan PT HM Sampoerna Tbk (HMSP).Head of Research PT Mirae Asset Sekuritas Indonesia, Hariyanto Wijaya mengatakan dilihat secara garis besar, saham yang mnegalami penurunan adalah sektor konsumer dalam hal ini UNVR.""Big cap perbankan masih naik. Yang terjadi adalah, kenapa bank naik, ekonomi selalu butuh kredit sehingga membuat kredit growth positif. Dengan kredit yang cenderung positif laba bersih bank naik,"" ujarnya kepada CNBC Indonesia, dalam program InvesTime, di Jakarta, Jumat (26/3/2021).Dari saham-saham tersebut, UNVR menjadi saham yang paling turun. Ada beberapa faktor yang menyebabkan saham UNVR mengalami penurunan. Pertama adalah banyaknya kompetisi produk asing yang sekarang mudah didapat dari e-commerce.""Sekarang banyak produk impor yang bisa didapat di ecommerce,"" tegasnya.Kedua adalah, daya beli masyarakat berubah. Sebelumnya, Upah Minimum Regional (UMR) naik dua digit dibanding dengan saat ini yang kenaikannya hanya satu digit.""Apalagi tahun ini, UMR mostly [kenaikan] 0%. Nanti pertumbuhan laba bersih tak sebesar historical level. Ini membuat investor asing nett sell atas saham-saham konsumer,"" tuturnya.Selanjutnya untuk sektor konsumer seperti PT Gudang Garam Tbk (GGRM) dan HMSP juga mengalami penurunan karena adanya aturan produk rokok. Kenaikan cukai rokok berdampak signifikan pada sektor konsumer ini.""Polanya, kenaikan cukai lebih besar dari UMR membuat daya beli masyarakat membeli rokok kurang. Volume penjualan turun, laba bersih turun,"" ujarnya lagi.Kemudian, ASII juga menjadi saham yang mengalami penurunan. Hal ini karena adanya perusahaan ride hailing seperti Gojek dan Grab yang membuat daya beli kendaraan roda empat dan roda dua menurun.""Dulu 10 tahun yang lalu, mau transport keinginan membeli mobil atau motor. Dengan ada ride hailing tak berkeinginan setinggi zaman dulu,"" pungkasnya.Data perdagangan BEI mencatat, pada awal sesi I, Senin ini (29/3), saham ASII stagnan Rp 5.600/saham dengan koreksi 5 tahun sebesar 15,15%, saham UNVR naik tipis 0,38% di Rp 6.625/saham dengan koreksi 5 tahun 8,75%, dan HMSP naik 1,09% di Rp 1.390/saham dengan kinerja 5 tahun ambles 65%."
2,25 March 2021 13:03,"5 Tahun Tak Cuan, Saham HMSP-UNVR-ASII Makin Parah",https://www.cnbcindonesia.com/market/20210325122907-17-232786/5-tahun-tak-cuan-saham-hmsp-unvr-asii-makin-parah,"Trio saham big cap atau saham dengan kapitalisasi pasar di atas Rp 100 triliun ditutup beragam pada penutupan sesi I perdagangan hari ini, Kamis (25/3/2021).Saham PT HM Sampoerna Tbk (HMSP) dan PT Unilever Indonesia Tbk (UNVR) melemah di zona merah, saat bersamaan saham PT Astra International (ASII) stagnan di harga pembukaan.Berikut harga ketiga saham tersebut, mengacu pada data Bursa Efek Indonesia (BEI), Kamis (25/3/), pada sesi I.HMSP, saham -0,73%, ke Rp 1.365, transaksi Rp 34 MUNVR, -0,38%, ke Rp 6.550, transaksi Rp 26 MASII, =0,00%, di Rp 5.450, transaksi Rp 126 MSaham emiten rokok HMSP menjadi yang paling terkoreksi di antara yang lainnya, setelah merosot 0,73% ke Rp 1.365/saham.Nilai transaksi saham emiten produsen brand kretek Dji Sam Soe ini sebesar Rp 34 miliar.Adapun pelemahan ini diwarnai aksi asing yang mencatatkan jual bersih sebesar Rp 8,87 miliar.Dengan pelemahan ini, saham HMSP berarti sudah empat hari berturut-turut berkubang di zona merah, atau sejak awal pekan ini (22/3).Praktis, saham perusahaan yang berdiri pada 1913 ini sudah ambles 5,21% dalam sepekan. Namun, dalam sebulan saham ini masih naik 1,11%.Adapun secara year to date (YTD), saham HMSP sudah ambles 26,61%.Pada Rabu (23/3), manajemen HMSP melaporkan penurunan laba bersih sepanjang tahun 2020 menjadi sebesar Rp 8,58 triliun. Nilai tersebut turun sebesar 37,95% dibanding tahun sebelumnya Rp 13,72 triliun.Penyebab penurunan laba bersih tersebut adalah menurunnya penjualan bersih HMSP sebesar 13,2% menjadi Rp 92,42 triliun dari sebelumnya Rp 106,55 triliun.Di tempat kedua, saham emiten barang konsumer UNVR juga turun 0,38% ke Rp 6.550/saham. Nilai transaksi saham ini sebesar Rp 26 miliar sepanjang sesi I.Dengan pelemahan ini, UNVR melanjutkan penurunan pada penutupan perdagangan kemarin, Rabu (24/3).Meskipun melemah, asing ramai-ramai tercatat mengoleksi UNVR sebesar Rp 3,67 miliar.Dalam sepekan saham UNVR terkoreksi 0,76%, sementara dalam sebulan sudah merosot 4,38%. Secara YTD, rapor saham UNVR pun jeblok, yakni ambles sebesar 10,27%.Di tempat ketiga, saham emiten Induk Grup Astra, ASII, tercatat ditutup stagnan di harga Rp 5.450/saham. Nilai transaksi saham ASII sebesar Rp 126 miliar.Dalam minggu ini, saham emiten distributor merek mobil asal Prancis Peugeot ini sudah dua kali tidak bergerak. Pada Selasa (23/3), saham ASII juga 'ogah' bergerak di harga Rp 5.575/saham.Adapun dalam sepekan, saham ASII sudah menyusut 4,80%, sementara sebulan merosot 3,11%. Selain itu, secara YTD saham emiten yang juga bergerak di bisnis perkebunan ini sudah anjlok 12,45%."
3,error,error,error,error
4,"Kamis, 25 Maret 2021 / 07:00 WIB",Rilis produk baru hingga menaikkan harga jual akan bantu kinerja Unilever (UNVR),https://investasi.kontan.co.id/news/rilis-produk-baru-hingga-menaikkan-harga-jual-akan-bantu-kinerja-unilever-unvr,"KONTAN.CO.ID - JAKARTA. PT Unilever Indonesia Tbk (UNVR) akan meluncurkan lebih banyak produk baru di tahun ini. Agenda peluncuran produk baru UNVR akan mengusung pertumbuhan berkelanjutan.  Willy Goutama Analis Maybank Kim Eng Sekuritas dalam riset 19 Maret 2021 menjelaskan, UNVR sebagai salah satu anak perusahaan global yang tengah akan lebih memprioritaskan strategi merger dan akuisisi serta menggenjot penelitian dan pengembangan (R&D). ""Karena itu, kami memperkirakan, UNVR akan peluncuran produk baru untuk meningkatkan stock keeping unit (SKU) menjadi 100-120 SKU di tahun 2021-2023,"" terang dia, dalam riset.  Jumlah SKU UNVR bertambah dari periode tahun 2017 hingga 2020 sebanyak 36-100 SKU. Penambahan jumlah SKU ini menurut Willy, akan membantu meningkatkan pertumbuhan penjualan UNVR di masa depan. Dengan berbagai inisiatif yang berorientasi pada pertumbuhan berkelanjutan tersebut, Willy yakin, UNVR bisa membukukan pertumbuhan penjualan sebesar 7% year on year (YoY) pada tahun ini. Pada tahun 2020, pendapatan UNVR stagnan (0%). ""Kami pikir pertumbuhan akan datang dari peluncuran produk baru dan rencana digitalisasi,"" tulis Willy dalam riset.  Rencananya UNVR meluncurkan beberapa produk terutama di bidang perawatan kulit, kosmetik, produk makanan dan minuman serta es krim. Euromonitor menyoroti kategori ini tumbuh cepat dengan pertumbuhan majemuk (CAGR) dalam 10-20 tahun sebesar 9%-15%. Sementara CAGR UNVR pada bidang yang sama dan periode sama tumbuh 8%.  Namun ada satu faktor risiko yang bisa menekan UNVR yakni meningkatnya harga komoditas. Sehingga, margin UNVR bisa tertekan. ""Kami kurang peduli tekanan margin keuntungan, karena UNVR masih menjadi pemimpin pasar. UNVR juga mampu meneruskan tekanan biaya kepada konsumen,"" jelas dia  Willy berpendapat, Unilever memiliki merek yang kuat sehingga bisa dengan mudah menaikkan harga. Maybank Kim Eng menghitung, harga jual rata-rata (ASP) UNVR akan naik 3% pada tahun ini. Angka ini jauh lebih tinggi dari tahun 2020 yang mana harga jual Unilever hanya naik 2%.  Pada tahun ini, Unilever juga menekan biaya promosi (A&P) hanya 9,7% dari penjualan dari sebelumnya pada tahun 2020 sebesar 10,3%. ""Kami memperirakan, EPS UNVR pada tahun 2021 akan naik 3,7% untuk setiap peningkatan ASP 1%,"" kata Willy dalam riset.  Hitungan Maybank Kim Eng Sekuritas, EPS UNVR akan tumbuh 8% pada tahun 2021, naik sebesar 4% pada 2022 dan meningkat 3% pada tahun 2023. Maybank Kim Eng Sekuritas juga memperkirakan, margin EBIT UNVR akan naik sedikit menjadi 22,9% di tahun 2021 dari tahun 2020 sebesar 22%. ""Kami memperkirakan, UNVR juga akan mendigitalkan pemesanan online dalam sistem B2B untuk memperluas pasar,"" terang Willy.  Hingga akhir tahun 2021, UNVR bisa membukukan pendapatan Rp 45,82 triliun dengan laba bersih Rp 7,75 triliun. Angka ini meningkat dari realisasi pendapatan dan laba bersih UNVR pada tahun 2020 masing-masing sebesar Rp 42,97 triliun dan Rp 7,16 triliun.  Maybank Kim Eng Sekuritas memberi rekomendasi untuk BUY dengan target harga Rp 9.800 per saham. ""Kami yakin EPS UNVR akan tumbuh pada CAGR pada tahun 2020-2023 sebesar 5%,"" proyeksi dia.  Bersiap, menunggu asing menyerbu saham-saham blue chip             "
5,24 March 2021 13:25,Alamak! Trio Saham HMSP-UNVR-ASII Kembali Bonyok,https://www.cnbcindonesia.com/market/20210324121524-17-232467/alamak-trio-saham-hmsp-unvr-asii-kembali-bonyok,"Harga saham tiga emiten big cap atau saham dengan kapitalisasi pasar di atas Rp 100 triliun ambles pada sesi I perdagangan hari ini, Rabu (24/3/2021). Penurunan ketiga saham tersebut dibayangi aksi jual bersih oleh asing.Ketiga saham tersebut, yakni PT HM Sampoerna Tbk (HMSP), PT Astra Internasional (ASII) dan Unilever Indonesia (UNVR).Mengacu data BEI, berikut gerak ketiga saham tersebut pada sesi I siang ini:HM Sampoerna (HMSP), saham -2,11%, ke Rp 1.395, transaksi Rp 54 M, net sell asing Rp 2,09 MUnilever Indonesia (UNVR), -1,85%, ke Rp 6.625, transaksi Rp 27 M, net sell asing Rp 13,01 MAstra International (ASII), -0,90%, ke Rp 5.525, transaksi Rp 67 M, net sell asing Rp 18,61 MSaham emiten rokok HMSP tercatat yang paling anjlok di antara dua saham lainnya, yakni 2,11% ke Rp 1.395/saham. Nilai transaksi saham produsen kretek Dji Sam Soe ini sebesar Rp 54 miliar.Dengan demikian, seusai data BEI, sudah 3 hari saham anak usaha Philip Morris Indonesia ini berkubang di zona merah.Asing juga tercatat keluar dari HMSP dengan catatan jual bersih Rp 2,09 miliar.Dalam sepekan, saham perusahaan yang berdiri pada 1913 ini terkoreksi 1,76%, sementara dalam sebulan naik 2,20%. Adapun secara year to date (YTD) anjlok 26,77%.Sebelumnya, pada Rabu (23/3), dalam laporan keuangan yang diterbitkan di website BEI, manajemen HMSP melaporkan laba bersih yang diatribusikan kepada pemilik entitas induk sepanjang tahun 2020 sebesar Rp 8,58 triliun.Nilai tersebut turun sebesar 37,95% dibanding periode yang sama pada tahun sebelumnya Rp 13,72 triliun. Penurunan laba bersih menyebabkan laba per saham dasar perseroan turun menjadi Rp 74 per saham dari sebelumnya Rp 118 per saham.Penyebab penurunan laba bersih tersebut adalah menurunnya penjualan bersih HMSP sebesar 13,2% menjadi Rp 92,42 triliun dari sebelumnya Rp 106,55 triliun.Menurut catatan atas laporan keuangan perusahaan, dampak negatif ekonomi akibat dari Covid-19 dan adanya kebijakan PSBB (Pembatasan Sosial Berskala Besar) dari pemerintah telah menyebabkan penurunan daya beli masyarakat dan perubahan prioritas belanja konsumen.""...[Sehingga] juga berdampak pada penurunan volume industri rokok dan perubahan preferensi konsumen rokok ke produk-produk yang lebih terjangkau harganya di Indonesia,"" jelas manajemen HMSP.Saham produsen bahan konsumer raksasa UNVR juga merosot 1,85% ke Rp 6.625/saham. Pelemahan ini diwarnai aksi jual bersih asing sebesar Rp 13,01 miliar.Adapun dalam sepekan saham produsen brand sampo Clear ini menguat 2,32%, sementara dalam sebulan masih memerah 3,28%. Selanjutnya, secara YTD, saham UNVR sudah terkoreksi 8,30%.Di tempat ketiga, saham emiten 'raja otomotif' ASII tercatat turun 0,90% ke Rp 5.525/saham dengan nilai transaksi sebesar 67 miliar.Sama seperti kedua saham di atas, asing juga ramai-ramai melego saham perusahaan yang juga bergerak di bidang tambang dan agribisnis ini sebesar Rp 18,61 miliar.Dalam sepekan saham ASII sudah terkoreksi 0,90%. Sementara, dalam sebulan saham perusahaan yang berdiri pada 1957 ini sudah merosot 3,49% dan secara YTD anjlok 9,43%."
6,"Selasa, 23 Maret 2021 / 20:43 WIB",Selama pandemi Unilever Indonesia (UNVR) telah lahirkan 40 inovasi produk,https://investasi.kontan.co.id/news/selama-pandemi-unilever-indonesia-unvr-telah-lahirkan-40-inovasi-produk,"KONTAN.CO.ID -  JAKARTA. Pandemi Covid-19 yang belum berakhir menyebabkan perubahan perilaku masyarakat terutama terkait prioritas pengeluaran. Hal ini mendorong PT Unilever Indonesia Tbk (UNVR) untuk terus melakukan inovasi terhadap perubahan perilaku tersebut. Dalam acara Indonesia Data and Economic Forum (IDE) 2021, Presiden Direktur Unilever, Ira Noviarti, mengatakan bahwa pihaknya terus berinovasi selama masa pandemi ini. Sepanjang tahun 2020, Ira menyebutkan bahwa sudah ada 40 inovasi produk yang dikeluarkan oleh Unilever. “Di tahun 2020 setidaknya kami melahirkan 40 inovasi produk untuk menjawab kebutuhan pelanggan dan konsumen kami yang terus berubah, terutama dalam hal permintaan dan pola belanja,” ungkap Ira dalam keterangan pers, Selasa (23/3). Ira mengatakan bahwa hal tersebut merupakan komitmen yang dilakukan oleh Unilever untuk memenuhi kebutuhan konsumen. Terlebih, ia  bilang bahwa konsumsi rumah tangga masih menjadi penopang pertumbuhan ekonomi tertinggi dengan menyumbang 57,6% dari Produk Domestik Bruto (PDB). Melihat tingginya permintaan pada produk-produk terkait dengan kebersihan dan kesehatan, Unilever meluncurkan produk terbaru terkait hal tersebut. Selain itu, Ira juga mengatakan inovasi produk juga dilakukan untuk mengantisipasi lemahnya daya beli masyarakat. “Unilever Indonesia meluncurkan produk-produk dalam ukuran kemasan dan harga yang lebih ekonomis,” tambah Ira. Menghadapi pola belanja yang serba online juga membuat Unilever mengembangkan beberapa platform digital, seperti Unilever Home Delivery, Unilever Professional dan Sahabat Warung. Pakar Pemasaran Inventure Consulting Yuswohady juga berpendapat bahwa pandemi covid-19 menyebabkan pergeseran perilaku konsumen. Oleh karena itu, Ia menilai setiap perusahaan memang perlu melakukan inovasi. “Setiap perusahaan, termasuk FMCG, menghadapi a whole new world dengan adanya gaya hidup, preferensi, prioritas, dan pola pengambilan keputusan pembelian konsumen yang sama sekali baru dan akhirnya melahirkan pola baru pula dalam memasarkan produk-produknya,” ungkap Yuswohady.      Dewan pengawas LPI diharapkan bisa gaet investasi             "
7,error,error,error,error
8,"Kamis, 18 Maret 2021 / 07:10 WIB","Saham big cap: IHSG merah, ASII naik 4 hari, ARTO, BBCA, BMRI, UNVR drop 3 hari",https://investasi.kontan.co.id/news/saham-big-cap-ihsg-merah-asii-naik-4-hari-arto-bbca-bmri-unvr-drop-3-hari,"KONTAN.CO.ID - JAKARTA. Indeks Harga Saham Gabungan (IHSG) merosot lagi 0,51% ke level 6.277,23 pada Rabu (18/3). IHSG terpukul saham-saham big cap yang melemah. Kemarin, dari 14 saham big cap dengan kapitalisasi pasar di atas Rp 100 triliun, 7 saham diantaranya melemah, 6 saham lain menguat dan 1 saham lain stagnan harganya. Saham big cap yang naik 3 hari berturut-turut: ICBP. Saham big cap yang naik 4 hari beruntun: ASII. Saham big cap yang turun 3 hari berturut-turut: ARTO, BBCA, BMRI, UNVR. Saham big cap dengan kenaikan market cap tertinggi harian, Rabu (17/3): 1. TPIA (1,64% | Rp 193,04 triliun) 2. TLKM (0,89% | Rp 335,82 triliun) 3. BRIS (0,75% | Rp 109,67 triliun) Saham big cap dengan penurunan market cap harian terdalam, Rabu (17/3): 1. EMTK (-2,65% | Rp 124,16 triliun) 2. BBNI (-2,01% | Rp 112,61 triliun) 3. UNVR (-1,15% | Rp 247,02 triliun) Ini Saham-Saham Big Caps yang Valuasinya Murah             "
9,"Minggu, 28 Februari 2021 / 18:08 WIB","Saham konsumer, UNVR, ICBP, INDF tertekan sejak awal 2021, ini rekomendasi analis",https://investasi.kontan.co.id/news/saham-konsumer-unvr-incp-indf-tertekan-sejak-awal-2021-ini-rekomendasi-analis,"KONTAN.CO.ID - JAKARTA. Indeks IDX sector consumer non-cyclical (barang konsumen primer) menjadi indeks sektoral dengan pelemahan tertinggi sejak awal tahun. Mengutip data Bursa Efek Indonesia (BEI) indeks ini sudah terkoreksi 4,71% secara year-to-date (ytd). Sejumlah saham penghuni indeks ini pun menunjukkan pergerakan harga yang kurang memuaskan. Ambil contoh saham PT Unilever Indonesia Tbk (UNVR) yang melemah 14,89% sejak awal tahun. Saham PT Indofood Sukses Makmur Tbk (INDF) dan anak usahanya, PT Indofood CBP Sukses Makmur Tbk (ICBP) juga melemah sejak awal tahun, masing-masing 23,42% dan 26,24%.  Analis Phillip Sekuritas Indonesia Anugerah Zamzami Nasr menilai, indeks sektor barang konsumsi primer yang tumbuh minus dibandingkan indeks sektor lainnya kemungkinan akibat minat pelaku pasar saat ini. Analisis dia, sektor ini sedikit kurang diminati di saat pelaku pasar melirik saham sektor cyclical. “Sehingga sektor non cyclical atau defensive menjadi out of favor,” terang Zamzami kepada Kontan.co.id, Minggu (28/2). Namun, saham-saham ini masih menarik khususnya untuk jangka panjang. Harga yang rendah saat ini justru menarik untuk melakukan koleksi ataupun melakukan cicil dengan tujuan jangka panjang. Secara valuasi pun, saham UNVR, INDF, dan ICBP masih cukup murah. Zamzami bilang, saham-saham tersebut memiliki P/E dan PBV yang juga rendah saat ini, di bawah rata-rata lima tahunnya. Dus, saham UNVR, INDF, dan ICBP bisa dilakukan cicil beli dengan memanfaatkan momentum koreksi.    13 emiten bakal rights issue, simak saran analis berikut             "
