,DateTime,News
0,"22 Jan 21, 08:17","$KLBF $UNVR

Kalbe Farma (KLBF) dan Unilever (UNVR) Siap Ambil Bagian dalam Distribusi Vaksin

KONTAN. CO .ID - JAKARTA. PT Kalbe Farma Tbk (KLBF) berpeluang ambil bagian dalam distribusi vaksin Covid-19. Peluang ini muncul setelah pemerintah memiliki wacana mengajak pihak swasta dalam melakukan distribusi vaksin Covid-19.

Presiden Direktur Kalbe Farma Vidjongtius mengaku, pihaknya sudah memasuki tahap pembicaraan terkait distribusi vaksin.

""Sudah ada pembicaraan, namun belum ada keputusan final,"" beber dia kepada KONTAN, Selasa (19/1)."
1,"3 Dec 20, 11:18","Samuel Daily Report December 3nd 2020

Highlights
* $BRPT : Ada potensi IPO anak usaha di masa depan


Ekspektasi positif global, $IHSG berpotensi melanjutkan penguatan

Pasar AS ditutup menguat masih ditopang ekspektasi investor terhadap negosiasi stimulus dalam waktu dekat. Dari sisi Eropa, UK mendorong implementasi vaksin dengan mengeluarkan emergency approval untuk vaksin Pfizer dan BioNTech sementara AS diperkirakan akan melakukan langkah yang sama akhir bulan ini untuk vaksin Moderna. DJIA +0.2% ke level 29,883; S&P500 +0.18%; sementara Nasdaq -0.05%. Harga minyak WTI berada pada level USD 45.3 dengan Brent USD 47.9 dan emas USD 1,830.

Indeks EIDO +1.11% dan IHSG Rabu ditutup +1.56% menjadi 5,814 dengan pendorong indeks HMSP, TLKM, BBRI. Net buy asing pada pasar regular mencapai IDR 15 miliar. Saham dengan nilai net buy asing tertinggi di pasar reguler dicetak oleh ANTM (IDR 148.0 miliar), BBCA (IDR 148.0 miliar), dan TOWR (IDR 65.9 miliar) sementara net sell asing dicetak oleh (IDR 121.0 miliar), (IDR 58.6 miliar), dan EXCL (IDR 55.7 miliar). Sepanjang minggu ini (Senin-Rabu), IHSG menguat +0.6% disertai net sell asing IDR 3.87T pada pasar regular.

Kasus baru Covid-19 Rabu diumumkan naik menjadi 5,533 kasus (Selasa: 5,092) dengan tingkat kesembuhan lebih rendah yaitu 4,001 (Selasa: 4,361) dan kematian 118 kasus (Selasa: 136). Total kasus Covid-19 Indonesia telah mencapai 549,508 kasus dengan rasio kasus ditutup sebesar 86.6% per 2 Des 2020 (1 Des 2020: 86.8%).

Rilis data mendatang, Continuing Jobless Claims per AS Nov-20 diproyeksi pasar akan turun menjadi 5.91 juta (prev: 6.07 juta) sementara Markit Composite PMI per Nov-20 diperkirakan naik menjadi 57.9 (prev: 56.3) mengindikasikan optimisme pasar terhadap economic recovery pada akhir tahun ini. Kami memperkirakan IHSG hari ini berpotensi kembali menguat seiring masih tingginya ekspektasi positif pasar terhadap beberapa isu global dan regional."
2,"23 Nov 20, 09:39","Samuel Daily Report November 23rd 2020

Highlights
* $UNVR : Bagi dividen interim IDR 3.31 triliun
* $PTPP : Raih Kontrak Pembangunan Smelter Feronikel IDR 3.2 Triliun


Minim Sentimen, $IHSG Akan Bergerak Terbatas

Pasar AS pada hari Jumat terkoreksi dengan penurunan -0.75% pada index Dow Jones, -0.67% pada index S&P500 dan -0.41% pada index Nasdaq. Investor AS masih akan wait and see terhadap melonjaknya infeksi Covid-19 dan perkembangan dari vaksin. Harga emas kembali menguat +0.32% ke level USD 1,870 /toz.

Dari dalam negeri, kasus harian Covid-19 masih belum menurun dengan penambahan 4,360 kasus baru pada hari Minggu kemarin (Sabtu: 4,998 kasus) dan pasien sembuh harian pada hari Minggu sebanyak 4,233 pasien (Sabtu: 3,404). Saat ini akumulasi kasus covid-19 berjumlah 497,668 kasus, dengan pasien sembuh sebanyak 413,955 pasien (84.0% recovery rate). Kedepan, diperkirakan penambahan kasus harian masih belum akan turun mengingat terus bertambahnya klaster-klaster penyebaran baru. PSBB transisi di DKI Jakarta diperpanjang hingga 6 Desember.

Untuk IHSG, pekan ini akan minim sentiment dari rilis data ekonomi dan perhatian investor masih akan tertuju pada kasus covid-19 secara global masih menjadi sorotan. IHSG Jumat lalu terkoreksi -0.41% secara harian namun naik signifikan +2.03% secara mingguan ke level 5,571. Dengan minimnya sentiment penggerak, ada kemungkinan aksi profit taking yang dilakukan oleh investor sebelum melanjutkan trend kenaikan.

Pagi ini pasar regional dibuka menguat dengan Kospi +0.24% dan Nikkei tutup. Untuk IHSG pada hari ini diperkirakan akan bergerak terbatas seiring dengan potensi aksi profit taking dan kekhawatiran akan melonjaknya Kembali kasus Covid-19 di Indonesia."
3,"23 Nov 20, 09:36","$UNVR

Kabar Gembira! Unilever (UNVR) Bagi Dividen Interim Rp3,31 Triliun

Unilever Indonesia (UNVR) memutuskan untuk membagikan dividen interim senilai Rp87 per saham, terendah dalam 10 tahun terakhir. Kendati demikian, pembagian dividen di tengah resesi ekonomi tetap menjadi angin segar bagi investor.

Bisnis. com, JAKARTA - PT Unilever Indonesia Tbk. bakal membagikan dividen interim senilai Rp3,31 triliun atau Rp87 per saham untuk tahun buku yang berakhir 31 Desember 2020.

Berdasarkan pengumuman yang diterbitkan Unilever, Senin (23/11/2020), pembagian dividen interim berasal dari saldo laba periode 30 Juni 2020. Pada periode tersebut, emiten bersandi saham  mencatat laba bersih Rp3,62 triliun. Dengan kata lain, 91,6 persen perolehan laba bersih akan digunakan untuk pembagian dividen interim.



Kabar+Gembira!+Unilever+()+Bagi+Dividen+Interim+Rp3,31+Triliun+|+"
4,"23 Oct 20, 10:40","Samuel Daily Report 23 Oktober 2020

Highlights
* $BBTN : Laba bersih 3Q20 naik +13.2% qoq dan 9M20 naik +39.7% yoy
* $UNVR : Laba bersih 3Q20 tumbuh flat yoy dengan 9M20 turun -1.27% yoy
* $LPPF : 3Q20 net loss IDR 259 miliar
* Otomotif : Utilisasi Industri Mobil Tinggal 27%


Wait and See Memasuki Periode Rilis Kinerja Emiten 3Q20

Rilis data ekonomi terbaru AS, Initial Jobless Claims berjumlah 787 ribu (prev: 842 ribu; cons: 860 ribu), lebih baik dari perkiraan konsensus pasar dan merupakan level terendah sejak memasuki periode pandemi. Bursa saham AS selanjutnya ditutup menguat, dipimpin oleh Dow Jones +0.54%, diikuti S&P 500 +0.52% dan Nasdaq +0.19%. Sementera 10Y Treasury AS melanjutkan tren kenaikan sejak awal pekan, hingga saat ini berada di level 0.865%.

Bank Indonesia dikabarkan kembali membeli Surat Utang Negara (SUN) dengan cara private placement senilai total IDR 22.87 triliun, pembelian ini merupakan transaksi kelima dalam rangka burden sharing pembiayaan public goods pada program PEN. Di sisi lain, Gubernur BI Perry Warjiyo menyatakan, inflasi di akhir tahun 2020 akan tetap rendah, dibawah 2%, sementara ia memperkirakan akan membaik di 2021.

Menutup akhir pekan kami melihat IHSG masih berpotensi melanjutkan pergerakan sideways, ditengah memasuki periode rilis kinerja keuangan emiten periode 3Q20."
5,"25 Jun 20, 09:24","Samuel Daily Report 25 Juni 2020

Highlights
· Perbankan : Pemerintah menempatkan dana Rp 30 triliun di bank-bank BUMN
· Perbankan : Per Mei 2020, kredit tumbuh +3,04% yoy dan DPK tumbuh +8,87% yoy
· $MIKA : Tetapkan Dividen IDR 21 per Saham
· Sektor Konstruksi : Proyek Infrastruktur Bergulir Lagi Tahun 2021


Minim sentimen, berpotensi melemah

Pasar saham AS tertekan seiring laporan pasien positif covid-19 meningkat di beberapa kota besar. Florida dan California melaporkan kenaikan harian tertinggi sementara kapasitas bed rumah sakit Houston hampir penuh. Optimisme pasar selama beberapa minggu terhadap pelonggaran aktivitas ekonomi menjadi terkendala akibat data yang terus meningkat. DJIA -2.72% ke level 25,455; S&P500 -2.59%; dan Nasdaq -2.19%. Bursa Eropa juga turut menguat merespon kenaikan pasien positif yang signifikan di berbagai negara. DAX Frankfurt -3.43%; FTSE London -3.11%; dan CAC Paris -2.92%. Harga minyak WTI pagi ini berada pada level $38.2 dengan Brent $40.5 dan emas $1,771. Hari ini akan ada rilis data Initial Jobless Claims AS per Jun-20 (May-20 1.5 juta; cons 1.3 juta).

Indeks EIDO +0.22% dan IHSG Rabu ditutup +1.8% menjadi 4,964 dengan penopang saham BMRI, BBRI dan BBCA. Net sell asing pada pasar regular mencapai IDR 11.7 miliar. Saham dengan nilai net sell asing tertinggi di pasar reguler dicetak oleh BBRI (Rp 288.7 miliar), TKLM (Rp 124.7 miliar), dan (Rp40.8 miliar) sementara net buy asing tertinggi di pasar Reguler dicatatkan oleh SMMA (Rp 302.2 miliar), ASII (Rp 109.4 miliar), dan BBCA (Rp50.3 miliar).

Kami menilai, saat ini sentimen di pasar mayoritas seputar kekhawatiran investor terhadap perlambatan ekonomi akibat masih tingginya kenaikan data kasus harian. Sementara dari pasar domestik, hari ini akan ada rilis data Penjualan Motor Indonesia per May-20 (Apr-20 -79.3% yoy) yang diperkirakan masih akan melanjutkan penurunan dalam dari sisi penjualan."
6,"12 Jun 20, 09:26","$UNVR

Unilever Akan Jadikan Unilever Plc. Menjadi Perusahaan Induk

Unilever yang berkantor pusat di Belanda dan Inggris berencana menggabungkan bisnisnya menjadi satu perusahaan induk di bawah Unilever Plc.

https://bit.ly/147E996, JAKARTA – Unilever yang berkantor pusat di Belanda dan Inggris berencana menggabungkan bisnisnya menjadi satu perusahaan induk di bawah Unilever Plc. 

Adapun, sejak 1930 Unilever mempertahankan statusnya sebagai perusahaan dengan hukum ganda (dual–headed legal structure) yang berkantor pusat di dua negara yaitu Belanda dan Inggris.

Setelah Unilever NV di Belanda dan Unilever Plc. digabungkan, perusahaan pemilik merek Dove ini disebut akan membentuk perusahaan baru khusus sektor makanan dan minuman yang akan menjadi perusahaan tercatat di Belanda.



Unilever+Akan+Jadikan+Unilever+Plc.+Menjadi+Perusahaan+Induk+|+"
7,"11 Jun 20, 10:55","Good Morning

IMC Market Update
6/11/2020 5:47:40

Index Price Change Change %
LQ45 782,64 -23,69 -3,03 %
IDX 5035,06 -114,37 -2,27 %
EIDO 19,65 -0,50 -2,54 %
EEM 40,90 0,29 0,71 %

IDX ALL MARKET
Value (IDR) 10.98 T
Foreign 28.85% FBuy FSell
2.91 T 3.43 T

Domestik 71.15% DBuy DSell
8.07 T 7.55 T

INDEX

Index Price Change Change %
NI225 23091,03 33,92 0,15 %
HSI 25057,22 -7,49 -0,03 %
KOSPI 2188,92 6,77 0,31 %

Index Price ,Change Change %
DOW 27272,30 -282,31 -1,04 %
NAS 9953,75 66,59 0,67 %
S&P 3207,18 -17,04 -0,53 %

Index Price Change Change %
FTSE 6335,72 -6,59 -0,10 %
DAX 12617,99 -87,83 -0,70 %
CAC 5095,10 -41,68 -0,82 %

VIX 27,57 0 0 %
DJUSCL 9,07 -0,76 -8,38 %

The 6 biggest market weights IDX

Saham Price Change Change %
BBCA 29025 -25 -0,09 %
BBRI 3210 -180 -5,61 %
TLKM 3140 -30 -0,96 %
8300 -100 -1,2 %
BMRI 5275 -365 -6,92 %
HMSP 1805 -55 -3,05 %

FUTURES MARKET

Index Price Change Change %
NI225 F 22,815.0 +20.0 +0.09%
HSI F 24,920.5 +53.5 +0.22%

Index Price Change Change %
DOW F 26,972.0 +20.5 +0.08%
S&P F 3,186.38 +2.26 +0.07%
NAS F 10,100.25 +12.00 +0.12%

Index Price Change Change %
DAX F 12,495.8 +7.8 +0.06%
CAC F 5,035.0 -58.0 -1.14%
FTSE F 6,299.5 +8.4 +0.13%

Comm Price Change Change %
Gold 1,747.65 -0.30 -0.02%
Silver 18.383 +0.048 +0.26%
Oil 39.02 -0.07 -0.18%

Happy Trading
GMT Institute
Investment Management Course ( IMC)
CF"
8,"10 Jun 20, 08:05","Good Morning

IMC Market Update
6/10/2020 6:26:36

Index Price Change Change %
LQ45 795,29 -12,65 -1,59 %
IDX 5070,56 -35,51 -0,7 %
EIDO 20,35 -0,70 -3,44 %
EEM 41,17 -0,28 -0,68 %

IDX ALL MARKET
Value (IDR) 6.41 T
Foreign 32.42% FBuy FSell
2.1 T 2.05 T

Domestik 67.58% DBuy DSell
4.3 T 4.35 T

INDEX

Index Price Change Change %
NI225 23178,10 -87,07 -0,38 %
HSI 24776,77 280,45 1,13 %
KOSPI 2184,29 4,63 0,21 %

Index Price ,Change Change %
DOW 27572,44 -300,14 -1,09 %
NAS 9924,75 29,01 0,29 %
S&P 3232,39 -25,21 -0,78 %

Index Price Change Change %
FTSE 6472,59 -136,87 -2,11 %
DAX 12819,59 -201,6 -1,57 %
CAC 5175,51 -80,4 -1,55 %

VIX 25,81 1,76 6,82 %
DJUSCL 9,27 -0,2 -2,16 %

The 6 biggest market weights IDX

Saham Price Change Change %
BBCA 29500 -475 -1,61 %
BBRI 3300 -90 -2,73 %
TLKM 3230 -90 -2,79 %
8200 100 1,22 %
BMRI 5250 25 0,48 %
HMSP 1825 -20 -1,1 %

FUTURES MARKET

Index Price Change Change %
NI225 F 22,865.0 +47.5 +0.21%
HSI F 24,871.5 +126.5 +0.51%

Index Price Change Change %
DOW F 27,296.0 +32.0 +0.12%
S&P F 3,209.12 +3.62 +0.11%
NAS F 9,974.75 +23.75 +0.24%

Index Price Change Change %
DAX F 12,641.6 +21.0 +0.17%
CAC F 5,096.5 -77.0 -1.49%
FTSE F 6,337.4 +9.4 +0.15%

Comm Price Change Change %
Gold 1,721.95 +0.05 +0.00%
Silver 17.753 -41 -0.23%
Oil 38.19 -0.75 -1.93%

Happy Trading
GMT Institute
Investment Management Course ( IMC)"
9,"30 Apr 20, 10:51","Samuel Daily Report 30 April 2020

Highlights
· $MAIN : Laba Bersih FY19 -46,5% yoy
· $JSMR : Kinerja 2019
· $UNVR : Laba bersih tumbuh +6,83% yoy si 1Q20

Ekspektasi earnings 1Q20, IHSG berpotensi melanjutkan penguatan

Bursa AS ditutup menguat didorong oleh kenaikan earnings saham teknologi. DJIA +2.21% ke level 24,636; S&P500 +2.66%; Nasdaq +3.57%. Rilis data terkini US adalah GDP growth 1Q20 yang turun -4.8% qoq (4Q19 +2.1%; cons -4%). Selain itu, hasil FOMC Meeting memutuskan US Fed rate tidak berubah dan masih bertahan pada level 0%-0.25%. Bursa Eropa juga turut menguat. DAX Frankfurt +2.89%; FTSE London +2.63%; dan CAC Paris +2.22%. Harga minyak WTI naik 22% menjadi $15 dengan Brent $23.3 dan emas $1,728.

Indeks EIDO naik +4.66% dan IHSG Rabu ditutup +0.83% menjadi 4,567 dengan pendorong terbesar adalah Sektor Infra serta saham TLKM; BRPT dan HMSP. Net sell asing pada pasar regular mencapai IDR 284.4 miliar. IHSG pada minggu ini secara akumulatif (senin-rabu) menguat +1.57% dengan net sell pada pasar regular IDR 1.6T dan mayoritas leading movers adalah saham banks dan consumer goods.

Seiring masih tingginya dominasi saham perbankan sebagai movers dan foreign net buy pada minggu ini, kami menilai hal tersebut masih dapat menjadi pendorong penguatan IHSG. Selain itu, pada akhir bulan ini investor akan fokus pada earnings 1Q20 para emiten. Menutup minggu ini ini, kami perkirakan IHSG akan bergerak menguat."
