,UsernamePost,DatePosting,Posting,Saham
0,ckck,"11 May 21, 21:16","alhamdulillah Ya Allah berkah Ramadhan, jual saham dari tanggal 01 Mei 2021 - 05 Mei 2021 dikasih cuan Rp5,5 M ini semua berkat doa dan supportnya teman - teman semua.

sekali lagi saya mengucapkan terimakasih, tanpa teman - teman saya tidak akan bisa cuan sebanyak ini, semoga kebaikannya teman - teman semua dibalas sama Tuhan Yang Maha Esa aamiin Yra

akhir kata saya mengucapkan Minal Aidzin Walfaizin, Mohon Maaf Lahir Batin

salamat merayakan Idul Fitri untuk teman satu Agama (Islam), dan selamat libur panjang untuk teman non Muslim.

salam dari saya Asep Rahmatullah",SATU
1,SusiSetiawati,"13 May 21, 08:49","Minal aidin walfaidzin Stockbiters, mohon maaf jika ada salah kata dalam setiap postingan postingan saya

Semoga habis lebaran cuan cuan menanti kita semua, semangat belajar lagi, tidak ada kata berhenti untuk belajar, sekalipun sudah masternya

Salam cuan $IHSG $ISAT $ANTM $BBRI $GGRM","ANTM,BBRI,GGRM,ISAT"
2,maret21,"13 May 21, 14:58","Kadang saya suka bingung sendiri, klo lihat youtuber, influencer, ato investor yg KATANYA cuan hingga miliaran di saham ato pun kripto tapi masih mau nyibukkan diri utk membuka kelas2 berbayar. Klo dihitung"" si hasil dari kelas tsb jg tidak seberapa (receh), tapi ko mau?

Lain halnya jika mrk membuka kelas premium tapi gratis, suda jelas di sini tujuannya antara 'berbagi ilmu' ato utk 'personal branding'.

Tapi klo bagi mereka yg 'katanya' cuan miliaran tapi masi buka/sibuk dgn kelas berbayar, kadang saya suka bertanya"" apa betul mrk cuan bisa sampe sgtu ato jgn"" total transaksinya aja kali ya, yg klo dijumlahi sampe miliaran (sejak terjun di saham). wkwkwk

Yg ngerti, tolong kasih paham saya!

Saya tidak ingin debat!

Btw, met lebaran, minal aidzin wal faizin",SINI
3,ardhatopan,"13 May 21, 18:49","$ADRO
$PTBA
$ITMG
$MBAP
sudah koleksi semua","ADRO,ITMG,MBAP,PTBA"
4,NagaHitam,"12 May 21, 13:07","$BBRI $BMRI $BBNI $BBCA
bursa buka tangal berapa?
Pilih yang mana & kenapa?","BBCA,BBNI,BBRI,BMRI"
5,mrase,"13 May 21, 09:21","Yang ngehate crpyto, yang jelek""in crpyto ini sebenernya dalam hati kecil nya pengen yg pindah ke crpyto agar balik ke saham.
Tapi dia jelek""in crpyto, kelihatan karakter asli nya ga Senang orang lain cuan di crpyto.

Sama juga yg jelek""in saham, mungkin dia cuman ikut""an hype crpyto saja tanpa tau saham dan crpyto memang berbeda.
Dan saya tebak dia belum lama terjun di dunia saham.

Kalau saya mau saham mau crpyto, 2-2 nya bagus, yg penting pelajarin ilmu nya, ga usah jelek""in yg lain dan ga usah ikut""an orang lain.
Toh tujuan nya sama, bisa Cuan :)",AGAR
6,velechan,"13 May 21, 11:27","Hari Senin bakal horror berdarah2. awas open gap bawah semua
$BBRI
$BBCA
$UNVR
$ASII
$WSKT","ASII,BBCA,BBRI,UNVR,WSKT"
7,skydrugz27,"12 May 21, 20:01","Coal 100 Dollar

Sayangnya market tutup.

Kalau hari ini market buka, $PTBA $ITMG $ADRO mungkin bisa rally.

Tahun lalu saya prediksi coal 100 dollar kemungkinan di Januari - Februari 2021. Ternyata saya salah. Coal 100 dollar justru terjadi di Mei - Juni 2021 ketika musim panas sudah dekat.

Yang jadi masalah nih begitu libur begini coal 100 dollar. Pas bursa buka, coal malah nyungsep lagi ke 80 dollar. Gagal party deh.


Anyway, biarpun ada delay, setidaknya coal bisa tembus 100 dollar juga di 2021.

Investor yang sudah borong saham arang dari tahun lalu Keep HODL.

Kita sudah cukup lama bersabar. Semoga tahun ini kesabaran kita terbayarkan.

Yang bosan dengan coal bisa pindah ke kripto.


Coal dan kripto saling mengisi. Untuk mining kripto butuh PLTU. Dan PLTU butuh coal.","ADRO,ITMG,PTBA"
8,Zzz888,"13 May 21, 09:24","$BRMS klo porsi bakrie masih gede, nyerah deh, no comment, tp Kalo tinggal dikit, yah boleh la titip sandal.

Selamat Hari Raya Idul Fitri
Mohon Maaf lahir dan batin
$HRUM $ADRO $ITMG $IHSG","ADRO,BRMS,HRUM,ITMG"
9,kaburterus,"12 May 21, 15:49 · Edited on 12 May 21, 16:00","$UNVR   Book Value per Share


Pada saat saya beli saham UNVR, otomatis analisa book value per share (BVPS) dan rasio perbandingan antara harga saham dengan BPVS-nya atau PBVR, ke-dua analisa tersebut telah saya buang ke laut palung maryna analisa tersebut. Ini bukan saya frustasi karena DPR = 100% yang menyebakan BVPS tidak pernah meningkat. Dan bahkan saya juga telah mulai membuang analisa BVPS untuk memilih saham lain yang akan saya beli kenapa?

Karena manfaat yang paling penting dari mengetahui bvps adalah bahwa kita akan selalu terbawa-bawa dengan konsep  Kebangkrutan , kalau emiten bangkrut kita masih aman gak? Uang masih Kembali nggak? Atau dapat untung nggak? Itu biasanya disebut dengan margin of safety. Dimana margin of safety (MOS) adalah selisih positif pada saat kita membandingkan BVPS dengan harga saham, atau diformulasikan;
MOS = BVPS   Harga saham.
Atau kalau diturunkan dari perhitungan PBVR, maka;
MOS = (1 - PBVR) X harga saham

Jadi kalau anda memulai sesuatu dengan suudzon, berprasangka-buruk sebenarnya pertanyaan saya kepada anda, untuk apa memulai bisnis, untuk apa saham emiten tersebut dibeli? Tetapi karena anda ""benci tapi rindu"" kemudian anda gunakanlah tools BPVS, PBVR dan MOS. Dan tentu saja hasilnya anda akan semakin benci.

Kalau anda balik menayakan saya, maka analisa bvps, pbvr sudah saya buang kelaut, itu sebabnya saya hanya akan mengulas di sb untuk emiten yang saya beli seperti : dll

Saya pakai analisa arus kas dari dividennya saja, dan tentunya analisa ini otomatis akan terkait dengan PER. PER terhubung dengan perhitungan masa depan. Itu sebanya dalam banyak postingan saya menghitung hasil PER dengan kesimpulan satuan waktu seperti PER = 1 abad  50 tahun  dsb.

Dan meskipun masa depan tidak ada yang tau, tetapi ada kaidah umum bahwa masa depan anda akan ditentukan oleh kelakuan anda saat ini. Jadi saya berani menebak bahwa kelakuan UNVR sampai dengan saat ini baik-baik saja, dan tidak neko-neko. Maka masa depan UNVR juga aman-aman saja.

Soal peluang bahwa UNVR akan membuka bisnis baru mengembangkan usaha? Maka jawab saya jangan mengajari PSP UNVR yang umurnya lebih tua dibandingkan dengan NKRI, bagaimana caranya BERENANG . Maka saya masih dalam fase akumulasi menikmati membeli UNVR dengan harga terendah dalam lima tahun terakhir.

Demikian semoga semakin lebih kreatif lagi tebar fearnya di UNVR, agar supaya saya segera full muatannya.","AGAR,AMAN,MASA,UANG,UNVR"
